일자,특성추출,문서 식별자,Value
20190925,aaa,1,-7.9617188159813645
20190925,aalia,1,-7.9617188159813645
20190925,abc,12,-5.476812166193364
20190925,abc방송,3,-6.8631065273132545
20190925,abs,1,-7.9617188159813645
20190925,acc,1,-7.9617188159813645
20190925,ace,1,-7.9617188159813645
20190925,action,3,-6.8631065273132545
20190925,adios,2,-7.268571635421419
20190925,adlomico,1,-7.9617188159813645
20190925,adolescent,1,-7.9617188159813645
20190925,afp,1,-7.9617188159813645
20190925,ahnman,1,-7.9617188159813645
20190925,ai,8,-5.882277274301529
20190925,akmu,6,-6.169959346753309
20190925,album,1,-7.9617188159813645
20190925,alice,2,-7.268571635421419
20190925,allc,1,-7.9617188159813645
20190925,allegations,1,-7.9617188159813645
20190925,am,1,-7.9617188159813645
20190925,amaranth,1,-7.9617188159813645
20190925,amazing,1,-7.9617188159813645
20190925,ans,2,-7.268571635421419
20190925,aoa,4,-6.575424454861474
20190925,aomg,4,-6.575424454861474
20190925,ap통신,3,-6.8631065273132545
20190925,ar,3,-6.8631065273132545
20190925,ardor,2,-7.268571635421419
20190925,arena,1,-7.9617188159813645
20190925,ars,1,-7.9617188159813645
20190925,art,6,-6.169959346753309
20190925,artnews,1,-7.9617188159813645
20190925,artup,1,-7.9617188159813645
20190925,asf,9,-5.764494238645145
20190925,asia,2,-7.268571635421419
20190925,asiana,4,-6.575424454861474
20190925,asked,1,-7.9617188159813645
20190925,askfm,3,-6.8631065273132545
20190925,assemble,1,-7.9617188159813645
20190925,ateez,3,-6.8631065273132545
20190925,atlas,1,-7.9617188159813645
20190925,auto,1,-7.9617188159813645
20190925,avsec,1,-7.9617188159813645
20190925,aw,1,-7.9617188159813645
20190925,awards,2,-7.268571635421419
20190925,a군,2,-7.268571635421419
20190925,a단조,1,-7.9617188159813645
20190925,a석,1,-7.9617188159813645
20190925,a씨,9,-5.764494238645145
20190925,a존,1,-7.9617188159813645
20190925,backplane,2,-7.268571635421419
20190925,bank,1,-7.9617188159813645
20190925,bastion,14,-5.322661486366107
20190925,bbc,9,-5.764494238645145
20190925,bbc뉴스,1,-7.9617188159813645
20190925,bbq,1,-7.9617188159813645
20190925,beautiful,1,-7.9617188159813645
20190925,beauty,1,-7.9617188159813645
20190925,better,1,-7.9617188159813645
20190925,beware,1,-7.9617188159813645
20190925,bexco,1,-7.9617188159813645
20190925,bgm,2,-7.268571635421419
20190925,bi,1,-7.9617188159813645
20190925,biaf,1,-7.9617188159813645
20190925,bias,1,-7.9617188159813645
20190925,biff,4,-6.575424454861474
20190925,big,1,-7.9617188159813645
20190925,bj,1,-7.9617188159813645
20190925,blackpink,1,-7.9617188159813645
20190925,blue,1,-7.9617188159813645
20190925,bo,1,-7.9617188159813645
20190925,body,1,-7.9617188159813645
20190925,bomb,3,-6.8631065273132545
20190925,boom,1,-7.9617188159813645
20190925,boy,5,-6.352280903547264
20190925,breast,3,-6.8631065273132545
20190925,bric,1,-7.9617188159813645
20190925,bridge,1,-7.9617188159813645
20190925,broken,1,-7.9617188159813645
20190925,brt,1,-7.9617188159813645
20190925,brt작은미술관,1,-7.9617188159813645
20190925,bshwang,1,-7.9617188159813645
20190925,btn,1,-7.9617188159813645
20190925,bts,2,-7.268571635421419
20190925,bubble,1,-7.9617188159813645
20190925,bukseongrofesta,1,-7.9617188159813645
20190925,bulletproof,6,-6.169959346753309
20190925,bungy,1,-7.9617188159813645
20190925,button,3,-6.8631065273132545
20190925,bws,1,-7.9617188159813645
20190925,byc,1,-7.9617188159813645
20190925,byh,1,-7.9617188159813645
20190925,byunhc,1,-7.9617188159813645
20190925,b곡,1,-7.9617188159813645
20190925,b관,1,-7.9617188159813645
20190925,b군,2,-7.268571635421419
20190925,b급,1,-7.9617188159813645
20190925,b석,1,-7.9617188159813645
20190925,b성형외과,1,-7.9617188159813645
20190925,b씨,4,-6.575424454861474
20190925,b존,1,-7.9617188159813645
20190925,b홀,1,-7.9617188159813645
20190925,ca,1,-7.9617188159813645
20190925,caa,1,-7.9617188159813645
20190925,calculus,1,-7.9617188159813645
20190925,cameo,3,-6.8631065273132545
20190925,canvas,1,-7.9617188159813645
20190925,capitol,3,-6.8631065273132545
20190925,cares,1,-7.9617188159813645
20190925,ca밴드,1,-7.9617188159813645
20190925,cb,1,-7.9617188159813645
20190925,cbs,1,-7.9617188159813645
20190925,cbsmit,1,-7.9617188159813645
20190925,cca,1,-7.9617188159813645
20190925,cctv,3,-6.8631065273132545
20190925,cells,1,-7.9617188159813645
20190925,ceo,6,-6.169959346753309
20190925,cf,2,-7.268571635421419
20190925,cg,1,-7.9617188159813645
20190925,cgbio,2,-7.268571635421419
20190925,cgv,11,-5.563823543182994
20190925,cgv대구한일,1,-7.9617188159813645
20190925,chang,1,-7.9617188159813645
20190925,cherry,2,-7.268571635421419
20190925,chillin,2,-7.268571635421419
20190925,choimk,1,-7.9617188159813645
20190925,cholecystectomy,1,-7.9617188159813645
20190925,cholecystitis,1,-7.9617188159813645
20190925,choreography,1,-7.9617188159813645
20190925,chosun,4,-6.575424454861474
20190925,citizen,4,-6.575424454861474
20190925,city,3,-6.8631065273132545
20190925,cix,1,-7.9617188159813645
20190925,cj,10,-5.659133722987319
20190925,cj엔터테인먼트,3,-6.8631065273132545
20190925,classic,1,-7.9617188159813645
20190925,cleared,1,-7.9617188159813645
20190925,clt,1,-7.9617188159813645
20190925,cm,3,-6.8631065273132545
20190925,cnn,4,-6.575424454861474
20190925,coke,1,-7.9617188159813645
20190925,colorful,3,-6.8631065273132545
20190925,company,1,-7.9617188159813645
20190925,concerts,1,-7.9617188159813645
20190925,confirmation,1,-7.9617188159813645
20190925,convergence,1,-7.9617188159813645
20190925,cool,1,-7.9617188159813645
20190925,cos,1,-7.9617188159813645
20190925,court,1,-7.9617188159813645
20190925,cp,1,-7.9617188159813645
20190925,crazy,1,-7.9617188159813645
20190925,csr,2,-7.268571635421419
20190925,css,1,-7.9617188159813645
20190925,cuts,1,-7.9617188159813645
20190925,c단조,2,-7.268571635421419
20190925,c존,1,-7.9617188159813645
20190925,daniel,8,-5.882277274301529
20190925,danity,3,-6.8631065273132545
20190925,daughter,3,-6.8631065273132545
20190925,db,4,-6.575424454861474
20190925,dear,2,-7.268571635421419
20190925,deformation,1,-7.9617188159813645
20190925,deja,1,-7.9617188159813645
20190925,del,2,-7.268571635421419
20190925,delay,1,-7.9617188159813645
20190925,deleted,2,-7.268571635421419
20190925,design,1,-7.9617188159813645
20190925,desk,2,-7.268571635421419
20190925,dhlfyd,2,-7.268571635421419
20190925,dht,1,-7.9617188159813645
20190925,digital,1,-7.9617188159813645
20190925,dimf,1,-7.9617188159813645
20190925,dinner,1,-7.9617188159813645
20190925,disease,1,-7.9617188159813645
20190925,dive,1,-7.9617188159813645
20190925,dj,20,-4.965986542427373
20190925,dj센터,1,-7.9617188159813645
20190925,dmt,1,-7.9617188159813645
20190925,dmz,7,-6.015808666926051
20190925,dna,4,-6.575424454861474
20190925,doc,2,-7.268571635421419
20190925,dokja,1,-7.9617188159813645
20190925,doko,2,-7.268571635421419
20190925,don,1,-7.9617188159813645
20190925,dpcw,6,-6.169959346753309
20190925,dpi,1,-7.9617188159813645
20190925,drainage,1,-7.9617188159813645
20190925,drametse,1,-7.9617188159813645
20190925,draw,1,-7.9617188159813645
20190925,dream,5,-6.352280903547264
20190925,dreams,1,-7.9617188159813645
20190925,drear,2,-7.268571635421419
20190925,drop,3,-6.8631065273132545
20190925,dwt,1,-7.9617188159813645
20190925,dwt급,1,-7.9617188159813645
20190925,dwyang,1,-7.9617188159813645
20190925,d존,1,-7.9617188159813645
20190925,eabcn,1,-7.9617188159813645
20190925,early,1,-7.9617188159813645
20190925,ebpk,1,-7.9617188159813645
20190925,ebs,5,-6.352280903547264
20190925,eco,2,-7.268571635421419
20190925,economy,1,-7.9617188159813645
20190925,eco사랑,1,-7.9617188159813645
20190925,edm,1,-7.9617188159813645
20190925,eez,1,-7.9617188159813645
20190925,eins,1,-7.9617188159813645
20190925,elephant,6,-6.169959346753309
20190925,emc,1,-7.9617188159813645
20190925,emoticon,1,-7.9617188159813645
20190925,emotion,1,-7.9617188159813645
20190925,en,2,-7.268571635421419
20190925,english,1,-7.9617188159813645
20190925,ent,1,-7.9617188159813645
20190925,entertainment,1,-7.9617188159813645
20190925,en스타,2,-7.268571635421419
20190925,ep,4,-6.575424454861474
20190925,episode,2,-7.268571635421419
20190925,eri,1,-7.9617188159813645
20190925,eros,1,-7.9617188159813645
20190925,ess,1,-7.9617188159813645
20190925,esyouth,1,-7.9617188159813645
20190925,eu,1,-7.9617188159813645
20190925,eunji,1,-7.9617188159813645
20190925,event,2,-7.268571635421419
20190925,everglow,1,-7.9617188159813645
20190925,ex,1,-7.9617188159813645
20190925,exo,4,-6.575424454861474
20190925,e스포츠,3,-6.8631065273132545
20190925,e편한세상신촌,1,-7.9617188159813645
