일자,특성추출,문서 식별자,Value
20190926,geometric,1,-7.9269635448629785
20190926,gestural,1,-7.9269635448629785
20190926,giff,1,-7.9269635448629785
20190926,god,4,-6.540669183743088
20190926,gold,1,-7.9269635448629785
20190926,golden,1,-7.9269635448629785
20190926,good,5,-6.317525632428878
20190926,green,1,-7.9269635448629785
20190926,greet,1,-7.9269635448629785
20190926,gs건설,1,-7.9269635448629785
20190926,gs샵,1,-7.9269635448629785
20190926,gudle,1,-7.9269635448629785
20190926,guy,2,-7.233816364303033
20190926,g밸리,1,-7.9269635448629785
20190926,hack,1,-7.9269635448629785
20190926,haeon,1,-7.9269635448629785
20190926,haetti,1,-7.9269635448629785
20190926,happy,1,-7.9269635448629785
20190926,hardware,1,-7.9269635448629785
20190926,hb,1,-7.9269635448629785
20190926,hdc,2,-7.233816364303033
20190926,hdc영창,1,-7.9269635448629785
20190926,hdc영창콩쿠르,2,-7.233816364303033
20190926,heart,1,-7.9269635448629785
20190926,helloakmufan,2,-7.233816364303033
20190926,hellokmufan,1,-7.9269635448629785
20190926,henri,1,-7.9269635448629785
20190926,heritage,2,-7.233816364303033
20190926,hipster,3,-6.8283512561948685
20190926,hmil,1,-7.9269635448629785
20190926,hollywood,1,-7.9269635448629785
20190926,hoody,1,-7.9269635448629785
20190926,horse,2,-7.233816364303033
20190926,hotel,1,-7.9269635448629785
20190926,hours,1,-7.9269635448629785
20190926,house,2,-7.233816364303033
20190926,https,4,-6.540669183743088
20190926,huily,1,-7.9269635448629785
20190926,humans,1,-7.9269635448629785
20190926,hwijpg,1,-7.9269635448629785
20190926,hwpl,1,-7.9269635448629785
20190926,hynn,2,-7.233816364303033
20190926,hypocrite,1,-7.9269635448629785
20190926,hyun,2,-7.233816364303033
20190926,h회사,1,-7.9269635448629785
20190926,iaea,2,-7.233816364303033
20190926,iau,1,-7.9269635448629785
20190926,ibm,1,-7.9269635448629785
20190926,ibro,1,-7.9269635448629785
20190926,ica,2,-7.233816364303033
20190926,icao,2,-7.233816364303033
20190926,icast,2,-7.233816364303033
20190926,icc,1,-7.9269635448629785
20190926,iccr,1,-7.9269635448629785
20190926,ict,2,-7.233816364303033
20190926,ict융합,1,-7.9269635448629785
20190926,id,1,-7.9269635448629785
20190926,idea,1,-7.9269635448629785
20190926,idea국제공모전,1,-7.9269635448629785
20190926,if디자인어워드,1,-7.9269635448629785
20190926,igestion,1,-7.9269635448629785
20190926,iggaflo,1,-7.9269635448629785
20190926,ih,1,-7.9269635448629785
20190926,iheartradio,1,-7.9269635448629785
20190926,iiff,1,-7.9269635448629785
20190926,imf,3,-6.8283512561948685
20190926,insta,2,-7.233816364303033
20190926,integration,1,-7.9269635448629785
20190926,international,1,-7.9269635448629785
20190926,intimo,1,-7.9269635448629785
20190926,invisible,1,-7.9269635448629785
20190926,ioc,1,-7.9269635448629785
20190926,ionomer,1,-7.9269635448629785
20190926,iptv,1,-7.9269635448629785
20190926,isotc,1,-7.9269635448629785
20190926,iss,1,-7.9269635448629785
20190926,itzy,2,-7.233816364303033
20190926,it학습센터,1,-7.9269635448629785
20190926,jashin,1,-7.9269635448629785
20190926,jass,1,-7.9269635448629785
20190926,jazz,1,-7.9269635448629785
20190926,jb,1,-7.9269635448629785
20190926,jbj,1,-7.9269635448629785
20190926,jcc,6,-6.135204075634924
20190926,jcc아트센터,4,-6.540669183743088
20190926,jean,2,-7.233816364303033
20190926,jeannie,1,-7.9269635448629785
20190926,jennykim,4,-6.540669183743088
20190926,jerry,1,-7.9269635448629785
20190926,jhc,1,-7.9269635448629785
20190926,jhjdhe,4,-6.540669183743088
20190926,jiwin,5,-6.317525632428878
20190926,jkpark,1,-7.9269635448629785
20190926,job이야기,1,-7.9269635448629785
20190926,joe,1,-7.9269635448629785
20190926,joombas,1,-7.9269635448629785
20190926,jopping,4,-6.540669183743088
20190926,joy,1,-7.9269635448629785
20190926,jpeg,1,-7.9269635448629785
20190926,jpeg파일,1,-7.9269635448629785
20190926,jtbc,27,-4.631126678858649
20190926,jurons,1,-7.9269635448629785
20190926,jvcki,2,-7.233816364303033
20190926,jyp,5,-6.317525632428878
20190926,j부티크,2,-7.233816364303033
20190926,kal,1,-7.9269635448629785
20190926,kappa,1,-7.9269635448629785
20190926,kbs,98,-3.341996066192406
20190926,kbsi,2,-7.233816364303033
20190926,kbs부산총국,3,-6.8283512561948685
20190926,kcc,2,-7.233816364303033
20190926,kg,15,-5.218913343760768
20190926,kiaf,1,-7.9269635448629785
20190926,kick,1,-7.9269635448629785
20190926,kill,2,-7.233816364303033
20190926,kimh,1,-7.9269635448629785
20190926,kit,1,-7.9269635448629785
20190926,kiwi,1,-7.9269635448629785
20190926,knn,1,-7.9269635448629785
20190926,knock,1,-7.9269635448629785
20190926,ko,2,-7.233816364303033
20190926,koda,1,-7.9269635448629785
20190926,korea,2,-7.233816364303033
20190926,krt,1,-7.9269635448629785
20190926,kspo,1,-7.9269635448629785
20190926,kspo돔,1,-7.9269635448629785
20190926,kt,2,-7.233816364303033
20190926,ktx,2,-7.233816364303033
20190926,kt체임버홀,1,-7.9269635448629785
20190926,kyeongin,1,-7.9269635448629785
20190926,k마트,1,-7.9269635448629785
20190926,k뷰티니스,1,-7.9269635448629785
20190926,k씨,3,-6.8283512561948685
20190926,k타이거즈제로,2,-7.233816364303033
20190926,k타이커즈제,1,-7.9269635448629785
20190926,k팝,9,-5.7297389675267585
20190926,k팝스타,1,-7.9269635448629785
20190926,la,5,-6.317525632428878
20190926,lady,1,-7.9269635448629785
20190926,las,1,-7.9269635448629785
20190926,lcd,1,-7.9269635448629785
20190926,le,2,-7.233816364303033
20190926,learning,1,-7.9269635448629785
20190926,led,2,-7.233816364303033
20190926,leez,1,-7.9269635448629785
20190926,left,1,-7.9269635448629785
20190926,lf,1,-7.9269635448629785
20190926,lg생활건강,1,-7.9269635448629785
20190926,li,1,-7.9269635448629785
20190926,liberte,1,-7.9269635448629785
20190926,lie,2,-7.233816364303033
20190926,life,4,-6.540669183743088
20190926,light,2,-7.233816364303033
20190926,linc,2,-7.233816364303033
20190926,lip,1,-7.9269635448629785
20190926,lisa,1,-7.9269635448629785
20190926,live,5,-6.317525632428878
20190926,lo,2,-7.233816364303033
20190926,lol,2,-7.233816364303033
20190926,love,3,-6.8283512561948685
20190926,lover,2,-7.233816364303033
20190926,loves,1,-7.9269635448629785
20190926,lovin,2,-7.233816364303033
