,Value
경찰,0.24394673113701307
a씨,0.2355493447417944
관계자,0.21344577336732892
서울,0.21039734188778264
혐의,0.1765647172617186
조사,0.1483447262855203
용의자,0.14274224134341168
범행,0.12966870262681798
청와대,0.12828452322995734
수사,0.11967975513983518
사건,0.10691242728912334
피해자,0.10326046074629727
tv,0.10228370954260756
검찰,0.10140400487153474
법무부,0.09865194267551278
여성,0.0979204760235421
경위,0.09761293308786005
b씨,0.0907312197554729
폭행,0.09035570461478944
화장실,0.0889928021882004
발견,0.08751412978304249
화성,0.08525708391153804
사고,0.08487772642070195
신빙성,0.0844730320303309
경기,0.08377939457089485
공무원,0.08363007804142746
상가,0.08354834966257027
일산동부경찰서,0.08230847781603275
이날,0.0820900097425175
화성사건,0.07832675041885089
부산교도소,0.07612588030618339
문재인,0.07609988682749372
고양시,0.07531462989050644
치료,0.07511882763035911
은평경찰서,0.07443318356461301
충북,0.07390110619889359
윤석열,0.07324692586859452
불구속,0.07272844220246069
cc,0.07264430336584408
자유한국당,0.07227529196930178
도주치상,0.07193520574345233
헌병대,0.07182201576466361
병원,0.0715193229261053
은평구,0.07140628818694307
일산동구,0.07128797659837766
경기도,0.07121659261009503
제주,0.07116605487030456
성폭행,0.07090643853850327
검찰개혁,0.07046216321827967
프로파일러,0.07033605715483995
교통사고,0.06971054269567865
이씨,0.06927404967314077
경상,0.06899940370176758
오토바이,0.06843218452240858
이춘재,0.0680006746634174
대면조사,0.06768821898450117
진행,0.06756647983971611
탑승자,0.06653798858849978
남성,0.0662923232094119
무차별,0.06623507387406417
음주운전,0.06588392205837755
소속,0.0650153764496097
입건,0.06487395137752304
폐쇄회로,0.06446566362375653
자백,0.0641601052553617
비서실,0.06328012910784003
증거물,0.06252193242968916
일산,0.06200894589337509
서울중앙지검,0.06197497923681612
정확,0.060943464325160214
소방당국,0.06033097446075805
자신,0.06000152639810391
여자화장실,0.059359274561192506
특정범죄,0.05845990984755869
부장판사,0.058393972889759414
수사기록,0.05811898308381098
뺑소니,0.0576768132441581
경찰청,0.05766518301961535
청주,0.05717878119079228
검찰총장,0.057138967323657246
피의자,0.05708865000720397
군인,0.056977536510991064
상해,0.05683030599878252
