,Value
법무부,0.18151918651812035
압수수색,0.16109154131595269
서울대,0.1456252047548069
서울중앙지검,0.13940096342662012
증명서,0.13297210624290673
만큼,0.12827437797053345
방배동,0.12770928145073418
검찰,0.1259138916987672
한국,0.12538977371633225
청와대,0.12337502060711117
위원회,0.11973221352092198
부장검사,0.11967048983071281
연세대,0.11859096884366536
정경심,0.11675311601628224
한인섭,0.11516969608054906
인권법,0.11313112961482254
자유한국당,0.11269047090878312
법무장관,0.1101371381811533
장관,0.10980875587545993
페이스북,0.10824033606873466
청문회,0.10665752167371537
수사팀,0.10450294174036896
윤석열,0.10040247842502062
공익인권법센터,0.09949226635718438
검찰개혁,0.0989939665928674
하드디스크,0.09874290637388064
동양대,0.0969950845105131
조씨,0.09590083640471968
기자들,0.0953255282924561
고형곤,0.0952592733595248
센터장,0.09418659919022807
온라인,0.09357153080021133
문재인,0.09259880907672133
조국,0.09256910639857155
강제수사,0.09144755275373098
정책연구원장,0.09047801277814213
인턴증명서,0.09035107375196667
더불어민주당,0.0898385425578058
한국당,0.08962174700552934
검찰총장,0.08940476071412373
인턴십,0.08823172909740479
사모펀드,0.0848607166483214
혐의,0.08471010525612399
표창장,0.0843162181424882
수사관들,0.08404102476688001
수사관,0.08353379272653048
충북대,0.08227078082413465
미국,0.08191791361612383
사실상,0.08186395819786181
sns,0.07986112616310354
아주대,0.07913780357998772
그동안,0.07883421566494796
대표가,0.0787223320376062
악의적,0.0784172586419512
입장문,0.07818666184702523
법조계,0.07765771801132437
단국대,0.07654297511129134
대검찰청,0.07646296436774624
교수,0.07644948549366393
국민청원,0.07503514140161412
정부과천청사,0.07456159081138371
대학원,0.07448830736237567
이화여대,0.0734178503635982
참고인,0.07135549744673524
학생들,0.07118546334473182
이해찬,0.0711656594635577
장영표,0.07055459839581026
경기도,0.07046018725414813
검사들,0.070347513770077
일본,0.07011200886251169
피고발인,0.06984855042574767
증권사,0.06917134721403546
사실관계,0.06905319185552336
로스쿨,0.06840035359828042
연구원,0.06799795877082805
pc,0.06780426607167343
법학전문대학원,0.06777246559715987
국민들,0.06729603527658008
인턴활동증명서,0.06662338253308886
나경원,0.06593241659322961
원내대표,0.0659324165932296
최고위원회의,0.06592521881852789
자택,0.06500947406040962
보고서,0.06499858677578053
사회관계망서비스,0.0649162731037283
민주당,0.06370009058282734
제대로,0.06369985071395327
충북,0.06199027339937502
직원들,0.06174091327814838
청원,0.061309816402298836
류석춘,0.06089134168329252
위안부,0.06089134168329252
사람들,0.060663134480248446
자녀들,0.060574051984799974
한영외고,0.06032686745963548
황교안,0.06011550052056875
코링크,0.058947615328289384
주민들,0.058507638239844825
가해자,0.0582771473492319
의정부지검,0.056953072661102846
대규모,0.05695280320466849
수색,0.05610123200722399
간담회,0.05555291495874621
그간,0.055498894524805
검사,0.05526263198290269
비공개,0.055210493445382376
가족들,0.053949842126030705
경찰청,0.05319238433544717
위원장,0.052955687654482046
관심사,0.052803304404416454
화성,0.05233369122533852
허위사실,0.0522335535040084
공소시효,0.051902619882808795
장씨,0.05186917259569598
조사,0.0515419661084399
대법원,0.05087704906140207
가짜뉴스,0.0508525652323305
홈페이지,0.04991297033508676
무분별,0.049874061719960394
보도자료,0.04970040293028159
사회관계,0.04924173405983368
용의자,0.04912191171407271
운용사,0.048334166272409
vs,0.048233792743585135
장관직,0.04805654021440391
불가능,0.04688950522217652
기자간담회,0.046002548120515
명예훼손,0.042392849683448204
휴대전화,0.04236985992733474
성폭행,0.04153640948583601
여학생,0.04145057436062202
이씨,0.04092269761550409
월요일,0.03953771865213516
노동자,0.03946651718777848
정의당,0.03923874527702271
분들,0.039033370388676845
성희롱,0.038757663798471245
수원,0.03826049166438165
청주,0.0381538385998251
게시판,0.03796603996168064
울산,0.03761988509593479
dna,0.03705367953356261
b양,0.03699270086405174
다음달,0.03673608717959136
대변인,0.03632024282722242
상해,0.036299039349533956
변호사,0.03585510010678855
사회학,0.035478806201335956
경북,0.0354129398532727
피해,0.035411971197475245
이중국적,0.03457915662961911
전북,0.03420045942425365
불공정,0.03402735508197337
연쇄살인,0.03392032374945287
일들,0.033867631468743595
시간date,0.03329635101401245
부산,0.03310041388100168
노래방,0.03303564142978396
부산지법,0.03276395191280369
대한민국,0.03197581337644966
원정출산,0.03195930962084
화성연쇄살인사건,0.03192709345423036
총학생회,0.03183453326266901
전공과목,0.03139288742287754
교육부,0.031122622577010626
일본군,0.031026564900239688
국민연금,0.030871388888436962
수원시,0.030509339940763238
시민단체,0.030293632279654766
반말,0.03008797360896504
a양,0.03008797360896503
팔달구,0.03008797360896503
여중생,0.029908917899471386
불평등,0.029719667126790788
의원,0.029535729653374053
국회의원,0.029133056547510198
수원서부경찰서,0.02850646149368985
성폭력,0.028388914074093035
중학생,0.02814461095792268
국립과학수사연구원,0.027912717288505327
집행유예,0.027487960218091908
kbs,0.027335067350890693
아이들,0.027302130760156966
발전사회학,0.027089962688187467
이춘재,0.027089538585737
교도소,0.02702192971400638
중학교,0.026985957102122274
경찰청장,0.026754084205859112
삼성,0.026564233963517873
화성사건,0.02613681739813856
매춘부,0.026117060048379093
활성화,0.025970000282472594
삼성물산,0.02595396086140973
제일모직,0.02595396086140973
아동학대,0.02578840799329758
인천,0.025783921067481487
음주운전,0.025658369669445298
국민연금공단,0.025585746796732093
전주,0.025523969087387237
유전자,0.02520370271378288
제주,0.02504468104868685
집단폭행,0.024959690348150133
전문가,0.02493994518600333
분식회계,0.024873957713426174
삼성바이오로직스,0.024873957713426174
자회사,0.024671410245259293
경기남,0.0243484526538784
