,community
asf,0
양주시,0
전문가들,0
은현면,0
음성,0
의심,0
이동,0
접수,0
조치,0
차량,0
통제,0
강화군,0
발병,0
아프리카돼지열병,0
위원장,0
공무원,0
양주,0
아프리카,0
열병,0
신고,0
가축,0
결과,0
신고가,0
농림축산식품부,0
농식품부,0
대상,0
정밀검사,0
돼지,0
돼지농장,0
돼지열병,0
사람,0
마리,0
파주시,1
조사,1
지역,1
총상,1
현장,1
판정,1
가스,1
광주,1
자신,1
파악,1
시작,1
후송,1
화재,1
부산,1
운전자,1
울산대교,1
동구,1
소방차,1
인근,1
기사,1
정확,1
울산,1
전원,1
고양이,1
경찰관,1
중상,1
치료,1
상대,1
사고원인,1
동료,1
소리,1
육군,1
파주,1
소위,1
간부,1
경기도,1
경기,1
a소위,1
수사기관,1
긴급,1
결국,1
강안,1
상태,1
사망,1
부대,1
병원,1
당국,1
발견,1
경위,1
목격자,2
수원,2
인공지능,2
용의자,2
나흘,2
무기수,2
강원,2
시설물,2
경북,2
노후화,2
경기남부경찰청,2
경찰청,2
대면조사,2
부산교도소,2
안내양,2
수원시,2
이씨,2
전씨,2
화성,2
화성사건,2
날씨,2
전문가,2
경기남,2
법최면,2
그동안,2
화성연쇄살인사건,2
dna,2
모습,2
성폭행,2
수도권,2
이춘재,2
sbs,2
일자리,2
청주,2
제대로,2
항공편,3
프놈펜,3
비상구,3
인천공항,3
보안법,3
서해,3
oz,3
아시아나항공,3
남성,3
공항경찰대,3
아시아나,3
캄보디아,3
여객기,3
회항,3
시간date,3
비상문,3
발생,3
분께,3
승객,3
인천,3
시간가량,4
양형,4
아동학대,4
긴급체포,4
남동구,4
보육원,4
그해,4
대치사,4
가정생활,4
무작정,4
소방당국,4
b군,4
아동학,4
수차례,4
여청,4
인천지법,4
혐의,4
거짓말,4
국립과학수사연구원,4
충분히,4
아이들,4
구속영장,4
연구원,4
의붓아,4
의붓아들,4
인천시,4
집행유예,4
a군,4
징역형,4
범행,4
피고인,4
인천지방경찰청,4
유시민,5
큐브스,5
노동자,5
법조계,5
대법원장,5
수사팀,5
이사장,5
자동차,5
변호인,5
직권남용,5
제조업체,5
재검토,5
원어치,5
운용사,5
사무실,5
버닝썬,5
민정수석실,5
학생들,5
대상자,5
경찰서장,5
연구관,5
대학생,5
박주민,5
진영,5
공직자,5
검찰권,5
검경,5
사실상,5
불가능,5
전국,5
경남,5
주광덕,5
서울중앙지검,5
법무부,5
강기정,5
참가자들,5
참가자,5
연세대,5
조국,5
정경심,5
장관,5
수사권,5
동양대,5
대구,5
공수처,5
검찰개혁,5
검찰,5
vs,5
한국,5
사람들,5
자유한국당,5
대한민국,5
정치검찰,5
검사,5
고려대,5
검찰총장,5
서울대,5
원내대표,5
영국,5
논두렁,5
청와대,5
변호사,5
범죄자,5
불평등,5
한국당,5
피해자들,5
촛불집회,5
중앙지검,5
자유연대,5
윤석열,5
세상,5
압수수색,5
시민들,5
대규모,5
대변인,5
문재인,5
문화제,5
시민연대,5
조씨,5
민주당,5
범국민,5
법무장관,5
사모펀드,5
반포대로,5
변씨,6
대법관,6
기자회견,6
문씨,6
손해배상,6
재판부,6
조목조목,6
당사자,6
한국고용정보원,6
하태경,6
준용씨,6
정보공개,6
자료들,6
의원,6
속기록,6
보도내용,6
문준용,6
문무일,6
무혐의,6
국회의원,6
국정감사,6
결정서,6
미국,6
수사자료,6
페이스북,6
대법원,6
jtbc,6
허위사실,6
더불어민주당,6
바른미래당,6
장애인,7
정규직,7
아나운서들,7
계약직,7
방송,7
전달,7
규슈,8
의약품,8
전문의,8
만큼,8
장혜원,8
저압부,8
온라인,8
제주,8
일본,8
여성들,8
제주도,8
태풍위원회,8
기상청,8
우리나라,8
수요일,8
남부지방,8
이상인,8
고기압,8
남쪽,8
통보관,8
대한해협,8
독도,8
마닐라,8
필리핀,8
타이베이,8
미탁,8
대만,8
미크로네시아,8
북서쪽,8
북태평양,8
서귀포,8
오키나와,8
헥토파스칼,8
