,community
asf,0
아프리카돼지열병,0
야생멧돼지,0
연천,0
연천군,0
열병,0
외국인,0
인천,0
인천시,0
적성면,0
충남,0
파주,0
파주시,0
폐사체,0
한계선,0
환경부,0
소방청,0
김포,0
아프리카,0
살처분,0
정규직,0
발병,0
사업장,0
비무장지대,0
dmz,0
강화군,0
경기도,0
국립환경과학원,0
군부대,0
노동자,0
근로자,0
과학원,0
남쪽,0
뉴시스,0
돼지열병,0
마리,0
의원실,0
김포시,0
저지대,1
신고가,1
제주도,1
주민들,1
남구,1
중대본,1
경북,1
포항시,1
농수로,1
중국,1
이재민,1
강수량,1
포항,1
울진군,1
삼척,1
우리나라,1
기상청,1
남부지방,1
광주,1
울릉도,1
강릉시,1
독도,1
울진,1
강릉,1
동해안,1
물폭탄,1
삼척시,1
시간당,1
영동,1
영동선,1
동해,1
울산,1
유계리,1
제주,1
미세먼지,1
의사소통,1
전남도,1
여수,1
고흥,1
피해,1
중학교,1
중구,1
제주시,1
운전자,1
장애인,1
낙동강,1
영덕,1
행정안전부,1
청하면,1
전남,1
완도군,1
집중호우,1
최고치,1
항공기,1
홍수주의보,1
구좌읍,1
국립공원,1
의령군,1
기북면,1
목포,1
사망자,1
소방당국,1
여객선,1
영덕군,1
완도,1
동해상,1
미탁,1
인명피해,1
강원,1
경남,1
대구,1
강원도,1
구조견,2
구조,2
발견,2
부산,2
시간date,2
신고,2
병원,2
상태,2
확인,2
수색,2
매몰자,2
산사태,2
아내,2
수색작업,2
휴대전화,2
진행,2
인근,2
여성,2
부부,2
구평동,2
태풍,2
소방,2
해안가,2
남성,2
주택,2
작업,2
토사,2
아들,2
식당,2
현장,2
사하구,2
부산소방본부,2
발생,2
추정,2
중장비,2
가건물,2
매몰,2
뒤편,2
권씨,2
사망,2
구조작업,2
결과,2
민정수석,3
민주당,3
동양대,3
법무장관,3
김경율,3
공무상,3
공직자윤리법,3
운영,3
부인,3
개혁안,3
특수부,3
제대로,3
검찰개혁,3
검찰청,3
검찰총장,3
박근혜,3
수사팀,3
사모펀드,3
법조계,3
대검찰청,3
위원장,3
국정농단,3
증거인멸,3
코링크pe,3
지하주차장,3
조사실,3
이사장,3
그동안,3
정씨,3
자동차,3
전환사채,3
투자처,3
조씨,3
웅동학원,3
서울대,3
하드디스크,3
조범동,3
자본시장법,3
업무상,3
단국대,3
고등학생,3
고등학교,3
진영,3
사무실,3
대법원,3
투자사,3
참여연대,3
증명서,3
부장검사,3
조사,3
수사권,3
의혹,3
포토라인,3
분들,3
불구속,3
사문서,3
시민단체,3
조국,3
정경심,3
장관,3
인사청문회,3
취재진,3
인턴십,3
윤석열,3
압수수색,3
서울중앙지검,3
사실상,3
pc,3
공직자,3
교수,3
구속영장,3
법무부,3
표창장,3
코링크,3
부산대,3
변호사,3
강제수사,3
고형곤,3
배우자,3
한국투자증권,3
검찰,3
비공개,3
소환,3
운용사,3
계약서,4
참가자들,4
최연혜,4
더불어민주당,4
청와대,4
교육부,4
지자체,4
투쟁본부,4
국정감사,4
혐의,4
원내대표,4
사람들,4
참가자,4
장지은,4
회원들,4
과태료,4
문준용,4
바른미래당,4
jtbc,4
자유한국당,4
대학교,4
대학생,4
대한민국,4
경찰서,4
광화문,4
광화문광장,4
문재인,4
의원,4
서울역,4
시민들,4
보수단체,4
부당이득,4
촛불집회,4
위선자,4
기술정보방송통신위원회,4
한국당,4
사랑채,4
학생들,4
대규모,4
집회,4
페이스북,4
보고서,5
평가원,5
공무원,5
민주평화당,5
피고인,5
이씨,5
가해자,5
이춘재,5
전문가,5
재판부,5
경찰청,5
프랑스,5
살인사건,5
성범죄,5
성폭행,5
수원,5
연쇄살인,5
용의자,5
일반인,5
증거물,5
청주,5
프로파일러,5
화성,5
화성사건,5
화성연쇄살인사건,5
수차례,5
부장판사,5
한국,5
위원회,5
직원들,5
성매매,5
미국,5
dna,5
경찰관,5
경찰관들,5
범죄자,5
일본,5
전북,5
음주운전,5
만큼,5
혈액형,5
온라인,5
집행유예,5
대상자,5
여고생,5
