,Value
법무부,0.19439609947469144
자유한국당,0.16662693663701236
서울중앙지검,0.1461339182702479
서울중앙지법,0.1403528843473725
조씨,0.13241856577091685
청와대,0.12744102532569104
만큼,0.12613011739704463
부장판사,0.12219499572560583
사모펀드,0.12142309018551543
변호사,0.12113005196602228
동양대,0.11118082664297892
사실상,0.1107085605773567
관련자,0.11003297847736292
법조계,0.10937882863797878
피고인,0.1082801383230672
정경심,0.10702631075946187
의혹,0.10653875392920327
한국당,0.10469089240562907
미국,0.10444307004312887
표창장,0.10159281350001034
문재인,0.10139782793848119
서울대,0.10057349654280896
구속영장,0.10041003815103464
혐의,0.1001788332567079
온라인,0.1000984815494377
사람들,0.09567107780060012
고려대,0.09441431358483106
조사,0.09425844438238283
코링크,0.09319290350312578
조국,0.09155581180154529
압수수색,0.09154351105512411
부산대,0.09031187160454732
대한민국,0.08878541556168773
한국,0.08860075386985483
공소장,0.08680331441860738
그동안,0.08606852781800624
운용사,0.0854539065027873
후보자,0.08485682863689506
검찰,0.08449096397331507
인사청문회,0.08372828808376573
충분히,0.08366236020450359
제대로,0.08331889127808458
증거인멸,0.08329367414940066
재판부,0.0824522242573335
국민들,0.08011564424194569
의학전문대학원,0.07901593894858269
자동차,0.07830448849367672
검사들,0.07807678956790924
검찰총장,0.07800452958510663
sns,0.07797413784287109
페이스북,0.07765867727499551
장관,0.07715684491541872
수사기관,0.07507273819966716
대학원,0.07354426181334288
나경원,0.07341583467001853
원내대표,0.07341583467001853
윤석열,0.07241553054701377
박근혜,0.07217912963020323
단국대,0.07187016452487881
정권,0.07074826332032894
코링크pe,0.07035828399133041
정씨,0.06988543564152551
공직자,0.06981793307028927
특별전형,0.06918580586641354
공소시효,0.06914198050878546
조범동,0.06884063579189492
사문서,0.06854513378103456
부여,0.06764494097031686
휴대전화,0.06758211268466473
다음달,0.06716766536559754
중국,0.06716006842551311
노무현,0.0669175957850931
그간,0.06641446786126888
거짓말,0.06621663802306796
익성,0.06617206843299722
대법원,0.06565328828885642
위원회,0.06548898167386787
참고인,0.06529338687618001
학생들,0.06440824743558737
대표,0.06394175372717575
검찰개혁,0.06354610097173925
증명서,0.0634265638588916
주장,0.06311297386901034
사문서위조,0.06289835307594704
한영외고,0.0625486287578098
명예훼손,0.06142952167712791
경찰관,0.061417151005382586
wfm,0.061023934543211866
대통령,0.06095543449158241
인턴십,0.06079364379175825
검사,0.060632761317233705
국민일보,0.06062559666421439
김도읍,0.059966190375793454
여성,0.05952226332797276
신고,0.05929134156151807
법무장관,0.05869199120667141
장애인,0.057907156770192536
기자간담회,0.05704667860219947
장제원,0.057031336056680204
웰스씨앤티,0.05677448495660075
허위사실,0.05588662744198171
경찰청,0.055763113815679714
양현석,0.05563769570623529
아들,0.05527456957684198
불이익,0.05495661586848118
전문가,0.053391908575874475
더불어민주당,0.053298974653840904
kist,0.052008885595248466
보고서,0.051745976430972875
고등학교,0.05155113543445233
이듬해,0.05114406463533903
자신,0.05053611492275783
변호인,0.050229623802598204
대검찰청,0.04968885857179409
당사자,0.04932421978241145
촛불집회,0.04919592043859052
개정안,0.048937323248265746
노동자,0.04883625632294225
공직자윤리법,0.048238834812058574
피의사실,0.04780346972489382
제주,0.04778010340165986
수차례,0.04761381816634575
서울지방경찰청,0.04750700540076547
발언,0.04744390983505223
형사부,0.047385947974020036
부산,0.04690114118187531
성폭력,0.04676752717609375
의전원,0.046374425220703196
이용,0.04618448730891661
yg,0.04580423639182325
포토라인,0.045791299752181144
서울성모병원,0.04543873378746555
구치소,0.04540619851602226
tv,0.04498161254514377
광주,0.044848203707841774
상태,0.04483507805739133
상황,0.044817516591295334
구속기소,0.0446642211214505
외국인,0.044658948974164496
주광덕,0.04433087033955383
무자본,0.04417346117633921
다음날,0.043607290152632094
총학생회,0.04358243677568742
분들,0.043491465536662915
음주운전,0.04331022859029467
yg엔터테인먼트,0.04239407978486834
성폭행,0.0417421070203052
교수,0.04174163362610324
자문료,0.04166988671560043
직원들,0.041519524901484584
간담회,0.04128628566240351
최씨,0.04124266886011145
조직문화,0.04094958857008851
내자동,0.04067835676329627
경제적,0.04041806552334501
아프리카,0.04027750933333935
시간date,0.040081054522959576
종로구,0.04005125594631778
기자회견,0.039919429865066254
선고,0.039501104109943674
시민단체,0.03921910315037028
독일,0.039209089363162516
피해,0.03917302004045481
판결문,0.03897327457187725
전주,0.038181071520155596
징역형,0.03814259099585217
환경부,0.03809957706218891
kbs,0.0379978921241468
전남,0.037891348339630704
방송,0.037248138269886204
경기도,0.036869129300825455
현관문,0.03667949025290375
