,Value
경찰,0.22133615605367413
부산,0.20662151474320953
사고,0.20060811620302837
태풍,0.20045879556720142
정확,0.17896988542803896
타파,0.17716265747865897
발견,0.1529638639531256
소방당국,0.1524393366779735
a씨,0.14371772936841104
대구,0.140266712608251
빗길,0.13922235203694824
이날,0.137055507051836
경부고속도로,0.13653084722403466
인근,0.12893819563933434
목격자,0.1258735056352003
조사,0.12540041413119812
분기점,0.12291797657177017
관계자,0.11816731374662987
사망,0.10638270673819174
시외버스,0.10244157926490961
버스,0.10135287882355146
동대구,0.0991782052127027
제주,0.09884914600277847
jc,0.09851131855014267
가드레일,0.09636207256227866
추락,0.09524671341452406
인천,0.09220563524776873
서울,0.09215907100036094
출발,0.09134989359635004
차량,0.08891642149681638
원인,0.08649196582579292
전남,0.08456867361325678
부전동,0.0840201152855673
부산진구,0.08373016989343875
근처,0.08362992417475272
주택,0.08344460834218763
중장비,0.08344460834218763
기둥,0.08344460834218763
진입로,0.08212021945248188
여성,0.08089155227833128
하행선,0.0806018901546578
b씨,0.0799985941748188
단독주택,0.07980503632987766
구조작업,0.07925445446037324
병원,0.07918800651780371
기상청,0.07832430146040505
나머지,0.07652643621201682
경찰관,0.07584374487549297
자매,0.07482839615613662
다남교,0.07482839615613662
신용카드,0.07482839615613662
소지품,0.07482839615613662
경인아라뱃길,0.07482839615613662
장기동,0.07482839615613662
계양구,0.07482839615613662
거주지,0.07482839615613662
인천시,0.07482839615613662
체육복,0.07482839615613662
휴대전화,0.07457272383710506
영향,0.07343580137080427
계양경찰서,0.07327204868144727
신분증,0.07327204868144727
붕괴,0.07239296468351461
충북,0.07195460641082102
경위,0.07166898439124395
가능성,0.0707989885150971
동구,0.06967567990955707
제주도,0.0688114617230694
연구원,0.06750236269660483
국립과학수사연구원,0.06750236269660483
포항,0.06617485227590189
부상,0.0651882681629351
항공기,0.06362642823994578
부산경찰청,0.06326466640151714
운전자,0.06228792395194513
항공편,0.06070327416586076
매몰,0.06065541039744765
하루,0.06019369480099264
케이윌,0.05854368135774918
호우주의보,0.05599785822545867
제주공항,0.0543340244703883
동생,0.053054560460143584
신변,0.053054560460143584
특별,0.053054560460143584
소방대원,0.05297797054390837
등산객,0.05271386461269917
투입,0.05117770406661946
수사,0.05096876601372565
중앙분리대,0.0506954001984952
행사,0.05009350511153916
비바람,0.05001999379926662
펜션,0.049649745138642516
가스통,0.049649745138642516
단양,0.04913111306408087
단양읍,0.049031324051636335
승합차,0.04873007141413649
카니발,0.047701257150521884
소속사,0.04759915137283172
팬카페,0.0472332216706181
결과,0.04669666661711069
추정,0.04537036244757335
소방관,0.04515412090315796
자력,0.044718784306352434
사망자,0.04436059690222433
단양군,0.04415160643438418
한국공항공사,0.04412292484828577
내부,0.04398870496295392
출입문,0.04337028387594774
수작업,0.04335062303560748
공식,0.043170363614060285
방면,0.04287015368913228
경북,0.041970751095192105
아시아나항공,0.0414197542983213
발생,0.03992296800872812
스타쉽,0.039245358915057066
항공사,0.03883964888220382
김형수,0.03864914806806977
영남대,0.038346055743449216
여객선,0.03819126782878747
강수량,0.03777377046528496
남녀,0.0376852983210887
경남,0.03707668007436189
운항,0.03704828027737023
oz,0.03704828027737022
김포로,0.036723249002416726
주의보,0.03552459015758516
영향권,0.03538171306774543
제일평화시장,0.03496766135053818
중구,0.03491864972374389
주인,0.03468016700850069
화재,0.03451764368421657
잔불,0.03430846892421919
진화,0.03352854897408663
독도,0.03323832293881557
스타일리스트,0.03301667227073003
태풍경보,0.0329244792642907
강원,0.0326921397709249
김천교,0.03198402104048627
낙동강,0.03198402104048627
치료,0.03195809073879082
홍수주의보,0.03183135556503607
결항,0.031696718288311214
