일자,특성추출,문서 식별자,Value
20190914,흰색,1,-4.927253685157205
20190914,흡입,5,-3.3178157727231046
20190914,흡수장애,1,-4.927253685157205
20190914,흑산면,1,-4.927253685157205
20190914,흑산도,1,-4.927253685157205
20190914,흉기,7,-2.9813435361018916
20190914,휴대폰,1,-4.927253685157205
20190914,휴대전화,2,-4.23410650459726
20190914,휴게소,2,-4.23410650459726
20190914,휴가기간,1,-4.927253685157205
20190914,훈련,1,-4.927253685157205
20190914,후송,1,-4.927253685157205
20190914,후속,2,-4.23410650459726
20190914,후보자,5,-3.3178157727231046
20190914,횡설수설,1,-4.927253685157205
20190914,횡령,2,-4.23410650459726
20190914,회장님,1,-4.927253685157205
20190914,회유,1,-4.927253685157205
20190914,회삿돈,3,-3.828641396489095
20190914,회사,1,-4.927253685157205
20190914,회로,1,-4.927253685157205
20190914,회덕분기점,1,-4.927253685157205
20190914,회덕,1,-4.927253685157205
20190914,활보,1,-4.927253685157205
20190914,활동비,1,-4.927253685157205
20190914,환자들,1,-4.927253685157205
20190914,환자,1,-4.927253685157205
20190914,환경영향평가,1,-4.927253685157205
20190914,확인,2,-4.23410650459726
20190914,확보,2,-4.23410650459726
20190914,화제,1,-4.927253685157205
20190914,화재,2,-4.23410650459726
20190914,화장지,1,-4.927253685157205
20190914,화장,1,-4.927253685157205
20190914,화석연료,1,-4.927253685157205
20190914,홍콩,1,-4.927253685157205
20190914,홍씨,1,-4.927253685157205
20190914,혼추족,1,-4.927253685157205
20190914,혼잡,1,-4.927253685157205
20190914,혼란,1,-4.927253685157205
20190914,호남,1,-4.927253685157205
20190914,형제들,1,-4.927253685157205
20190914,형소법,1,-4.927253685157205
20190914,형사처분,2,-4.23410650459726
20190914,형사사법제도,2,-4.23410650459726
20190914,형사사법,1,-4.927253685157205
20190914,형사부,7,-2.9813435361018916
20190914,형사,3,-3.828641396489095
20190914,협의체,1,-4.927253685157205
20190914,협박,1,-4.927253685157205
20190914,혐의,17,-2.094040341100989
20190914,혈액암,1,-4.927253685157205
20190914,현황,1,-4.927253685157205
20190914,현화영,2,-4.23410650459726
20190914,현행법,1,-4.927253685157205
20190914,현행범,2,-4.23410650459726
20190914,현직,2,-4.23410650459726
20190914,현지,2,-4.23410650459726
20190914,현주건조물,5,-3.3178157727231046
20190914,현주,7,-2.9813435361018916
20190914,현장,1,-4.927253685157205
20190914,현대기아차,1,-4.927253685157205
20190914,현대기아자동차,1,-4.927253685157205
20190914,혁신처,1,-4.927253685157205
20190914,헬기,2,-4.23410650459726
20190914,헌법,2,-4.23410650459726
20190914,허프먼,2,-4.23410650459726
20190914,허씨,1,-4.927253685157205
20190914,향정신성,2,-4.23410650459726
20190914,행정심판,1,-4.927253685157205
20190914,행위,1,-4.927253685157205
20190914,행복,1,-4.927253685157205
20190914,행동,1,-4.927253685157205
20190914,핵심인물,2,-4.23410650459726
20190914,핵심,1,-4.927253685157205
20190914,해임취소소송,1,-4.927253685157205
20190914,해외,1,-4.927253685157205
20190914,해경,2,-4.23410650459726
20190914,항진증,1,-4.927253685157205
20190914,항소심,1,-4.927253685157205
20190914,합계출산율,1,-4.927253685157205
20190914,함안군,1,-4.927253685157205
20190914,할인률,1,-4.927253685157205
20190914,한종수,1,-4.927253685157205
20190914,한전,1,-4.927253685157205
20190914,한영외고,1,-4.927253685157205
20190914,한복,1,-4.927253685157205
20190914,한남나들목,1,-4.927253685157205
20190914,한국산업인력공단,1,-4.927253685157205
20190914,한국도로공사,5,-3.3178157727231046
20190914,한국노동연구원,1,-4.927253685157205
20190914,한국노동사회연구소,1,-4.927253685157205
20190914,한국기독교교회협의회,1,-4.927253685157205
20190914,한국교육개발원,2,-4.23410650459726
20190914,한국,1,-4.927253685157205
20190914,한가위,2,-4.23410650459726
20190914,학종,2,-4.23410650459726
20190914,학생부,1,-4.927253685157205
20190914,학생들,4,-3.5409593240373143
20190914,학부모들,2,-4.23410650459726
20190914,학부모,4,-3.5409593240373143
20190914,학년도,1,-4.927253685157205
20190914,학기,1,-4.927253685157205
20190914,학교,1,-4.927253685157205
20190914,학과,1,-4.927253685157205
20190914,하행선,1,-4.927253685157205
20190914,하이닉스,1,-4.927253685157205
20190914,하와이,1,-4.927253685157205
20190914,하루,2,-4.23410650459726
20190914,하드디스크,1,-4.927253685157205
20190914,하늘,2,-4.23410650459726
20190914,하남,1,-4.927253685157205
20190914,필리핀,1,-4.927253685157205
20190914,피해자들,1,-4.927253685157205
20190914,피해,4,-3.5409593240373143
20190914,피고인들,1,-4.927253685157205
20190914,피고인,10,-2.624668592163159
20190914,프리바이오틱스,1,-4.927253685157205
20190914,프로바이오틱스,1,-4.927253685157205
20190914,프로그램,1,-4.927253685157205
20190914,풍랑특보,1,-4.927253685157205
20190914,표현,2,-4.23410650459726
20190914,표정,1,-4.927253685157205
20190914,표류중,1,-4.927253685157205
20190914,표류,1,-4.927253685157205
20190914,폭행,3,-3.828641396489095
20190914,폭언,2,-4.23410650459726
20190914,포항,1,-4.927253685157205
20190914,포털사이트,1,-4.927253685157205
20190914,포기,2,-4.23410650459726
20190914,폐의약품,1,-4.927253685157205
20190914,폐쇄회로,1,-4.927253685157205
20190914,폐쇄,1,-4.927253685157205
20190914,평택지청,2,-4.23410650459726
20190914,평창,1,-4.927253685157205
20190914,평소,1,-4.927253685157205
20190914,평년,1,-4.927253685157205
20190914,평균,1,-4.927253685157205
20190914,평검사들,6,-3.13549421592915
20190914,평검사,9,-2.7300291078209855
20190914,편의점,1,-4.927253685157205
20190914,펜션,1,-4.927253685157205
20190914,페달,1,-4.927253685157205
20190914,펀드,1,-4.927253685157205
20190914,팬들,1,-4.927253685157205
20190914,패싸움,3,-3.828641396489095
20190914,패닉,1,-4.927253685157205
20190914,패널들,1,-4.927253685157205
20190914,판시,1,-4.927253685157205
20190914,판사,3,-3.828641396489095
20190914,판단말자,1,-4.927253685157205
20190914,판단,1,-4.927253685157205
20190914,판교분기점,1,-4.927253685157205
20190914,판교,1,-4.927253685157205
20190914,판결문,1,-4.927253685157205
20190914,파열,2,-4.23410650459726
20190914,파악,3,-3.828641396489095
20190914,파기환송심,1,-4.927253685157205
20190914,특정범죄,1,-4.927253685157205
20190914,특수존,1,-4.927253685157205
20190914,특수상해,1,-4.927253685157205
20190914,특수공무집행방해,1,-4.927253685157205
20190914,특수,1,-4.927253685157205
20190914,특경가법위반,2,-4.23410650459726
20190914,특경가법상,1,-4.927253685157205
20190914,특경,2,-4.23410650459726
20190914,투자처,3,-3.828641396489095
20190914,투자사,1,-4.927253685157205
20190914,투자금,2,-4.23410650459726
20190914,퇴직자,1,-4.927253685157205
20190914,통제,2,-4.23410650459726
20190914,통신망,1,-4.927253685157205
20190914,통상임금,1,-4.927253685157205
20190914,통계청,1,-4.927253685157205
