,Value
법무부,0.1844485205609526
더불어민주당,0.17394564028373605
자유한국당,0.15726570936638046
서울중앙지검,0.14275350072914822
청와대,0.14070174393183155
윤석열,0.1368961113709847
검찰총장,0.13526673956116672
검찰개혁,0.1294541983258502
압수수색,0.12811216844419046
정경심,0.12801097532519234
문재인,0.12665723209275012
한국당,0.12349335942638322
만큼,0.12138525258392271
민주당,0.11977751098608576
변호사,0.1173861077596174
동양대,0.11625632306353141
특수부,0.11238692601316923
이사장,0.10895643073576003
서울대,0.10703627616881252
수사권,0.10697389623579172
위원회,0.10464244279827775
대검찰청,0.10445687383880482
유시민,0.10321907576004467
공직자,0.10132266736701993
원내대표,0.0998227556699243
법무장관,0.09938579703282771
노무현재단,0.09705993055302216
법조계,0.0969021260684383
촛불집회,0.09597743153028851
검찰청,0.09494553085269125
페이스북,0.09399748593203583
검찰,0.09350108552102276
위원장,0.0933092849303245
국회의원,0.09182499024331421
표창장,0.09163635375905223
진영,0.09062942353685076
개혁안,0.08926523522070441
한국,0.08866083903836205
조국,0.08824639035543194
비공개,0.08796992941515132
의원들,0.08679546433323922
변호인,0.08638028550449435
사모펀드,0.08596546178747701
부산,0.08438039832397255
사실관계,0.08422441473850652
혐의,0.08412515784044837
장관,0.0837933619966644
사실상,0.08200474872872542
분들,0.08122360196659917
대구,0.08088728982726569
정씨,0.07951143659448039
대표가,0.07887298710596295
그동안,0.07883979132012528
박주민,0.0783194970016779
국정감사,0.07764104010328916
형사부,0.07671249251277908
미국,0.07599655638680779
인사들,0.07573131058105902
조사,0.07531911754458112
나경원,0.07491549691273222
패스트트랙,0.07447157424775493
수사팀,0.07430556085947272
유튜브,0.07402632985872509
박근혜,0.07371936923185866
검사장,0.07371066841275695
수사기록,0.07370930444249367
민정수석,0.07300178118343661
황교안,0.07288942771185865
교육부,0.07275425052503814
부장판사,0.0722566688574957
시민들,0.07125627580685387
구속영장,0.0711319594921805
국민들,0.07028969742214217
검찰권,0.07010531327965827
부장검사,0.06907943447497486
사람들,0.06871762005679456
이낙연,0.06755493043153767
우리나라,0.06743114246757015
의원,0.06596138735071416
재판부,0.06587721634711324
온라인,0.06556625518223651
수원,0.0646897505056215
피고인,0.06465715631043073
사문서위조,0.06344852275071454
취재진,0.06342390623756339
조씨,0.06312643572443685
고발장,0.06278154236752584
사문서,0.06256300021993928
경북,0.06146873500374195
불가능,0.0613338603570659
공판부,0.06020754370694431
경기도,0.06020371674660903
화성,0.05985113972726115
시간date,0.05977814605629803
광화문,0.058846590536244345
참여연대,0.05683386057521167
전문가,0.056603436264046444
고려대,0.0551740606114334
공무원,0.054107712080230345
용의자,0.05361932293640206
경찰청,0.05357265541226485
전수조사,0.053396289633644706
검사들,0.05308093135505819
박지원,0.05272477952022547
정작,0.05231321851507672
시민단체,0.051710296012160956
가족,0.05154445525705814
학생들,0.051186994800338996
증거물,0.051006135927518355
민정수석실,0.050586261495795495
최성해,0.05041544477342735
인천,0.0501406831565707
웅동학원,0.04955664186504429
jtbc,0.04853810690661652
증거인멸,0.04837114109285572
바른미래당,0.047990744852281574
명예훼손,0.04669760848315517
고등학교,0.04668106090654164
공무상,0.046650693235488656
이춘재,0.04565012822954538
보건복지부,0.04498080686618358
대법원,0.044650995928459454
교수,0.04459920980059304
미탁,0.044584575355585056
일본,0.04414360862528716
성폭행,0.0436614885628915
서울중앙지법,0.043073054073749006
아프리카,0.0411005076855863
친인척,0.04108299639451752
청주,0.04104594112671408
개정안,0.04012223681950821
불구속,0.039903436090659064
환경부,0.039858171703471834
제대로,0.0396054518167129
성폭력,0.039484774115655374
확인,0.03946842005547794
보고서,0.03920747897585524
대상자,0.03885769646290742
유은혜,0.03862514589171356
dna,0.03831160163580473
성범죄,0.03735994356757591
연구원,0.03729382306601876
프로파일러,0.037249866301578595
의원실,0.037189207479824835
대학생,0.03711675324046515
부산교도소,0.036399871018176884
연구소,0.03638772258244543
제주,0.03590020338125193
화성연쇄살인사건,0.035709720241410066
운전자,0.034938560791980156
최교일,0.03462681929353491
연세대,0.03442615807358293
광주,0.034172149109121704
집행유예,0.034104192880999105
전남,0.03333759118376064
비바람,0.033174304716845744
장애인,0.033020042444072674
이씨,0.032999571564246793
화성사건,0.03277259969959661
청문회,0.032570088141632855
연쇄살인,0.03250725169181762
중국,0.03168814121709086
무기수,0.03168648487309244
지원자,0.03164615707037662
살인사건,0.03160769277645236
기상청,0.031259742939040776
직원들,0.031224553548101813
경남,0.030719385337896192
대법원장,0.030204335925666473
노동자,0.029946580343933535
상반기,0.029673717892762408
신빙성,0.02961375112672759
ㄱ씨,0.02913207934443355
최순실,0.028651959461530742
범행,0.028592540903743694
수사본부,0.02856313662795755
사회의,0.028471443465486482
위반,0.028419522005491568
징역형,0.028310891293878496
충북,0.027972115276333042
목격자,0.027815999833563435
살인,0.02770787597853909
은평구,0.027675562426143264
성매매,0.027648410370266722
서울시,0.027357080018096638
학교,0.027205687856277562
대면조사,0.027193411322326597
