,Value
경찰,0.26435796531621675
a씨,0.24714214234825027
조사,0.24078213621607444
아파트,0.20985956658947735
혐의,0.194690884286171
구속영장,0.19467751807463568
중상자,0.17932899850467454
청주,0.17889923300117344
주민,0.17798162049452237
청원경찰서,0.17057883627120857
어머니,0.17057883627120857
현주,0.17057883627120857
서원구,0.1702751452686264
개신동,0.1702751452686264
연기,0.16596231870493686
건조물,0.1648566692051809
충북소방본부,0.16229459023498038
대피,0.16194852693998515
관계자,0.15828100899179068
현주건조물,0.1567021413060741
범행,0.15313550889512198
주민들,0.1521289174954688
소방서,0.1507485588375198
흡입,0.14868023070547662
b씨,0.12494250996619624
아들,0.11353382953012786
흉기,0.10814623130607066
방화범,0.10671022622619897
경위,0.10421331656445948
청주시,0.09863634229229407
병원,0.09421488600028265
고양시,0.09341747821573881
덕양구,0.09341747821573881
부부,0.08997540102535974
왼쪽,0.0782669788534663
부인,0.07531252708295574
부위,0.07399105152427884
상태,0.07394009063901898
수사,0.07252028540926876
생명,0.07197473660254457
추석,0.0718197232996495
남편,0.06966590194814933
정확,0.06844974487573804
손목,0.06766608304736983
자상,0.06766608304736983
체포,0.0586428847276202
치료,0.05727682475189204
추석날,0.05287449923788959
신고,0.05277841825597966
서울,0.05254061803726563
충북,0.045298776074694395
신청,0.03842899360138444
인근,0.037781433256839296
사건,0.03317462359677064
이날,0.032001372972694606
소방,0.02908845853359398
경찰청,0.02480232975643465
조씨,0.02354474334934293
사모펀드,0.022426221364990256
울산,0.02234299789146498
경기,0.021844833598572026
출동,0.021805716778326757
신고가,0.020912238250422013
코링크,0.02078158874716165
서울중앙지검,0.01994247215807701
피고인,0.019529546311481627
집행유예,0.018904387164965127
의혹,0.01886957567991901
양현석,0.01886957567991901
싸움,0.01867261210432467
파악,0.018534342196406994
김한빈,0.018220685880276147
진술,0.0180479679680707
성남동,0.01758686703403282
외국인,0.01758686703403282
권익위,0.01733378785958165
최씨,0.017271671411872812
경기남부지방경찰청,0.017251310678104644
패싸움,0.01695027227387176
중구,0.01692437946345695
목격자,0.01692437946345695
카카오톡,0.016705430753031
경기남,0.016705430753031
장소,0.016687406069739674
재판부,0.01662035261921863
yg,0.01602795617961119
외국인들,0.014702252964344744
사고,0.01389452560608911
웰스씨앤티,0.013811763087176679
광주,0.013526022155353395
규모,0.0135144197861776
방향,0.013450644939417451
소방당국,0.013351750112701496
도로,0.012979529872530511
긴급체포,0.012624186744221055
실소유주,0.012016607470336487
지장,0.011923112625281996
사람,0.011399944743680711
제주,0.011199733751506142
양형,0.011161466793732965
위반,0.011161466793732965
접수,0.011149520140610122
경기도,0.010875237887833015
원인,0.010691198894584078
부산,0.010468285002547716
경북,0.010332183260597578
형사,0.009662876251721839
당국,0.00784500890900515
상해,0.0076093099812096325
법무부,0.0070659543035891375
강릉,0.006224984815885275
학생들,0.006186273037634799
고속도로,0.006150247171986832
인천공항,0.006046257648621503
목포,0.005911638958215237
대구,0.005675280208948074
도심,0.0056254191038912745
운용사,0.005193849242462246
배우자,0.004883258318799319
c씨,0.004883258318799319
한국도로공사,0.004593466913764379
기상청,0.004554567030804913
인천,0.004470622677134952
요금소,0.004454131468169652
정체,0.004426918970812787
시작,0.004426918970812787
차들,0.004258388109750842
수도권,0.004258388109750842
코링크pe,0.004250106471112715
분기점,0.00418177703212027
명재권,0.004136786746022705
정경심,0.004094497291882361
코링크프라이빗에쿼티,0.003960743192806481
전주,0.0037187900374120665
귀경길,0.0037035685549887502
승용차,0.0036389613547483323
고형곤,0.003399379774673765
청와대,0.0033925336365349754
이상훈,0.0033925336365349754
춘천,0.003372839908482195
블루펀드,0.0031489128043594556
pe,0.0031484854034401215
가로등,0.0031161187228958345
수원,0.0030874872524294427
블루코어,0.0028526829862139057
재소환,0.0027792889568589415
조국,0.002740133661642237
검찰,0.0027315875631619365
체포영장,0.0027091381376354463
도로공사,0.0027034334787417505
동양대,0.002609062154038386
직접투자,0.002576268072574765
회삿돈,0.002576268072574765
김홍영,0.0025428356050457863
다음날,0.0024630088878352476
부산추모공원,0.002418772990919156
갑질,0.002408200886208776
법무부장관,0.0023412750851486163
기장군,0.002258073161694452
서울남부지검,0.0022485164886969023
제대로,0.00223240614480783
날씨,0.0022316102797077238
평검사,0.0021870348369796315
남해,0.002140371124760199
동해,0.002137224247884932
조직문화,0.0021245225090475335
부장검사,0.002124438828202932
검사,0.0020781126213218052
전남,0.0020665490908888286
전국,0.002053566270512207
차량,0.002053566270512207
강원,0.002053566270512207
최저기온,0.002053566270512207
예상,0.002053566270512207
상관의,0.002011577791838106
검찰총장,0.001979613478983319
자유한국당,0.0019590366539012434
승진제도,0.00195661514924458
인격모독,0.0019366743564320644
형사부,0.0019251493336003434
박용근,0.0018897338860129128
사회의,0.0018869024959590748
게시물,0.001858600242828944
탄원서,0.001858319566400092
멍멍,0.0018424109487068844
가족펀드,0.0017968043646720262
녹취록,0.0017968043646720262
투자처,0.0017968043646720262
재검토,0.0016904958293310936
평검사들,0.001552648213748824
남부지검장,0.001385109993545814
압박감,0.0012983348125732168
서울서부지법,0.0012827458421797314
블로그,0.0012827458421797314
정신질환자,0.0012107343114764768
질환자,0.0011624648174096588
장관,0.001139516469771586
승진,0.001139516469771586
교육,0.001139516469771586
민주화,0.0010828886734744168
가해자,0.0010828886734744168
부장판사,0.001081952322682112
마약,0.0009693752021715055
주먹,0.0007053899724245746
만큼,0.0006671869245335453
피해자,0.000649593007222529
심재철,0.0005618720391412239
대검찰청,0.00045930857242034427
사람들,0.0004455561133271483
조카,0.0003434285857400988
개혁의지,0.00029862486326759363
문무일,0.0002801370835738525
제도,0.00018829235649446603
서해,8.365797737272506e-05
