,community
asf,0
적성면,0
정밀검사,0
중국,0
파주,0
파주시,0
파평면,0
대규모,0
경기도,0
지자체,0
고등학교,0
문제점,0
조치,0
제대로,0
학생들,0
동두천,0
잠복기,0
의심신고,0
농림축산식품부,0
열병,0
원인,0
마리,0
경기북부,0
농식품부,0
매몰지,0
김현수,0
발병,0
돼지열병,0
발생,0
방역대,0
신고가,0
연천군,0
연천,0
아프리카,0
아프리카돼지열병,0
부산,1
헥토파스칼,1
제주,1
강풍,1
최대,1
타파,1
풍속,1
해상,1
수도권,1
동해안,1
독도,1
통보관,1
춘천,1
전주,1
울릉도,1
피해,1
경남,1
비바람,1
강풍주의보,1
대한해협,1
남부지방,1
강원도,1
해안가,1
항공기,1
통영,1
주의보,1
지리산,1
제주공항,1
저지대,1
오키나와,1
영향권,1
앞바다,1
시설물,1
시간당,1
서귀포,1
동해,1
남해,1
남쪽,1
태풍,1
기상청,1
강원,1
경상도,1
중심기압,1
소방당국,1
위기경보,1
인명피해,1
광주,1
농작물,1
행안부,1
제주도,1
행정안전부,1
윤기한,1
제주지방기상청,1
중대본,1
중형급,1
항공편,1
대구,1
최소화,1
링링,1
일본,1
진영,1
북북서,1
강릉,1
남해안,1
바람,1
일요일,1
자유한국당,2
더불어민주당,2
검찰청,2
헌정유린,2
원정출산,2
대한민국,2
환경부,2
온실가스,2
황교안,2
기후위기,2
기후변화,2
미국,2
청문회,2
한국당,2
나경원,2
아들,2
문재인,2
그동안,2
민주당,2
원내대표,2
대표,2
뉴시스,2
위선자,2
조국,2
장관,2
광화문,2
종로구,2
의정부지검,2
한국,2
거짓말,2
하나님,3
서울경찰청,3
화성,3
우리나라,3
연관성,3
공백기,3
화성군,3
외국인,3
화성연쇄살인사건,3
장혜원,3
온라인,3
경찰청,3
김시근,3
아이,3
jtbc,3
tv,3
방송,3
kbs,3
혐의,3
출연,3
시청자,3
성접대,3
혈액형,3
청주로,3
증거물,3
이씨,3
청주지검,3
dna,3
경기남,3
경기남부경찰청,3
경기대,3
교도소,3
대법원,3
무기징역,3
수사본부,3
청주,3
시간date,3
만큼,3
사회의,3
여성들,3
장애인,3
이춘재,3
이수정,3
용의자,3
연쇄살인,3
아이들,3
국과수,4
연구원,4
서울시,4
전문가,4
계양구,4
다남교,4
발견,4
장기동,4
시신,4
신용카드,4
인천시,4
경인아라뱃길,4
계양경찰서,4
특별,4
인천,4
인근,4
신고,4
차량,4
체육복,4
조사,4
여부,4
여성,4
청와대,5
법무부,5
공사대금,5
사모펀드,5
수사권,5
위원회,5
평검사,5
관련자,5
징역형,5
재판부,5
성폭력,5
검찰개혁,5
부장검사,5
검사,5
부장판사,5
웅동학원,5
수술실,5
성범죄,5
한인섭,5
증명서,5
정책연구원장,5
표창장,5
부작용,5
정경심,5
사회봉사,5
동양대,5
위원장,5
대학생,5
검찰,5
피해자들,5
검사들,5
골프장,5
화장실,5
센터장,5
인권법,5
사실상,5
서울중앙지검,5
테니스장,5
창원시,5
웅동중학교,5
지연이자,5
불가능,5
고려시티개발,5
고형곤,5
압수수색,5
수사관,5
자신,5
사무실,5
법조계,5
창원,5
페이스북,5
계약일,5
임은정,5
변호사,5
의혹,5
고려대,5
네트워크,5
평검사들,5
부산대,5
교육부,5
허위,5
사람들,5
의학전문대학원,5
주광덕,5
익성,5
조씨,5
성추행,5
서울대,5
지역,6
지역별,6
전북,6
전국,6
영서,6
영상,6
영동,6
분포,6
날씨,6
기온,6
경북,6
경기,6
강수량,6
충북,6
전남,6
수원,6
충남,6
