,community
asf,0
연천,0
열병,0
의심,0
정확,0
정밀검사,0
충남,0
충남도,0
충청,0
충청권,0
파주,0
홍성,0
홍성군,0
경위,0
환경부,0
병원,0
의심신고,0
아프리카,0
아프리카돼지열병,0
신고,0
강원,0
강화군,0
강화도,0
관광객,0
광천읍,0
농림축산검역본부,0
신고가,0
도축장,0
농림축산식품부,0
마리,0
발병,0
방역당국,0
경북,0
살처분,0
돼지열병,0
상대,0
청와대,1
촛불문화제,1
청문회,1
참가자들,1
정경심,1
주최측,1
조씨,1
정치검찰,1
수사팀,1
촛불시위,1
전문성,1
윤석열,1
참가자,1
촛불집회,1
부동산,1
패스트트랙,1
서울시,1
더불어민주당,1
보고서,1
인사청문회,1
수도권,1
창원시,1
최고위원,1
참고인,1
논두렁,1
국정원,1
한국당,1
대변인,1
필요성,1
표창장,1
범죄자,1
자유한국당,1
시위대,1
이준석,1
교대역,1
기자단,1
노무현재단,1
시간date,1
수사관,1
대검찰청,1
대규모,1
공수처,1
동양대,1
민주당,1
박근혜,1
범국민,1
범국민시민연대,1
서울중앙지검,1
변호사,1
사모펀드,1
문화제,1
검찰총장,1
검찰청사,1
검찰청,1
이종걸,1
개혁,1
국민,1
국회,1
의원,1
입장,1
총장,1
의원들,1
문재인,1
유시민,1
원내대표,1
압수수색,1
시민연대,1
시민들,1
촛불,1
검찰개혁,1
검찰권,1
입장문,1
사람들,1
분들,1
수차례,1
교육위원회,1
사무실,1
법무부,1
부장검사,1
검찰,1
단국대,1
이사장,1
사회의,1
교육학,1
그동안,1
인근,1
교육부,1
학교,1
최성해,1
상해,1
직원들,1
불가능,1
국민들,1
여론조사,2
응답자,2
미조치,2
공직자,2
사립학교,2
가족,2
미성년자,2
법정부담금,2
버닝썬,2
사실상,2
생각,2
조사,2
kbs,2
부담금,2
홈페이지,2
서울지방경찰청,2
김상교,2
이재정,2
서울시교육청,2
징계위원회,2
공무원,2
강남,2
성매매,2
교직원,2
제대로,2
카카오톡,2
교육청,2
대한민국,2
국정감사,2
경찰관,2
복지법,3
보육원,3
발견,3
미추홀구,3
미추홀경찰서,3
목검,3
다음날,3
긴급체포,3
인천,3
구속영장,3
검은색,3
인천시,3
강태호,3
b군,3
국립과학수사연구원,3
영장실질심사,3
아동보호전문기관,3
ㄱ씨,3
혐의,3
피의자심문,3
피고인,3
포승줄,3
팔다리,3
의붓아들,3
취재진,3
승합차,3
충분히,3
집행유예,3
인천지법,3
인천지방경찰청,3
의붓아,3
유치장,3
온몸,3
연구원,3
여청,3
아동학대,3
징역형,3
준용씨,4
문씨,4
이의신청,4
수사자료,4
불필요,4
고용노동부,4
개인정보,4
기자회견,4
문xx,4
정보공개,4
통지서,4
파슨스,4
페이스북,4
특허침해,4
미국,4
대법원,4
sk이노베이션,4
국회의원,4
lg화학,4
수사기록,4
감사관,4
거짓말,4
기각결정,4
문준용,4
바른미래당,4
비공개,4
하태경,4
여학생,5
정재희,5
서울행정법원,5
경비원,5
부당해고,5
재판부,5
학년도,5
주민들,5
위탁관리,5
입주자,5
광주,5
수치심,5
고등학교,5
학생,5
광주지법,5
서울대,5
벌금형,5
온라인,5
이수,5
학생들,5
봉사활동,5
피해자들,5
특례법,5
여성들,5
성폭력,5
남학생,5
장애인,5
업무방해,5
부장판사,5
노동자,5
제자들,5
전수조사,5
성희롱,5
위원회,5
경영상,5
학종,5
최저임금,5
위원장,5
근로자,5
용역업체,5
경비업무,5
법조계,5
학생부,5
미탁,6
화성,6
경기도,6
수원,6
방문해,6
다음달,6
성폭행,6
뉴시스,6
만큼,6
필리핀,6
이씨,6
전국,6
목격자,6
안내양,6
연쇄살인,6
재구성,6
기상청,6
중국,6
경남,6
일본,6
대구,6
남해안,6
동해,6
부산교도소,6
남부지방,6
용의자,6
일요일,6
전남,6
미세먼지,6
제주,6
전북,6
우리나라,6
북태평양,6
마닐라,6
제주도,6
고기압,6
경찰청,6
대만,6
복지부,7
찜질방,7
지자체,7
지방자치단체,7
입법예고,7
정형외과,7
아이들,7
시행규칙,7
판정기준,7
현역판정,7
국방부,7
간기능,7
지역별,7
병무청,7
신체검사,7
개정안,7
정의당,7
공중위생,7
관리법,7
한국,7
목욕탕,7
남자아이,7
정신건강의학과,7
보건복지부,7
소방차,8
한국인,8
소방서,8
방화문,8
부산지역,8
김포,8
소방당국,8
대원,8
외국인,8
연제구,8
요양병원,8
부산,8
소방관,8
