일자,Combination,조합 빈도수,빈도수 A,빈도수 B,Support A,Support B,confidence A,confidence B,Lift,targetValue
20191005,cctv_c군,1,6,4,-3.633190548253348,-4.038655656361512,-1.791759469228055,-1.3862943611198906,2.246896187133457,2.246896187133457
20191005,cctv_고의성,1,6,4,-3.633190548253348,-4.038655656361512,-1.791759469228055,-1.3862943611198906,2.246896187133457,2.246896187133457
20191005,cctv_구속영장,1,6,18,-3.633190548253348,-2.5345782595852384,-1.791759469228055,-2.8903717578961645,0.7428187903571835,0.7428187903571835
20191005,cctv_금정경찰서,1,6,3,-3.633190548253348,-4.326337728813293,-1.791759469228055,-1.0986122886681098,2.534578259585238,2.534578259585238
20191005,cctv_금정구,1,6,3,-3.633190548253348,-4.326337728813293,-1.791759469228055,-1.0986122886681098,2.534578259585238,2.534578259585238
20191005,cctv_긴급체포,2,6,7,-3.633190548253348,-3.4790398684260895,-1.0986122886681096,-1.252762968495368,2.38042757975798,4.76085515951596
20191005,cctv_목검,1,6,3,-3.633190548253348,-4.326337728813293,-1.791759469228055,-1.0986122886681098,2.534578259585238,2.534578259585238
20191005,cctv_미추홀구,1,6,5,-3.633190548253348,-3.8155121050473024,-1.791759469228055,-1.6094379124341003,2.0237526358192475,2.0237526358192475
20191005,cctv_병원,1,6,4,-3.633190548253348,-4.038655656361512,-1.791759469228055,-1.3862943611198906,2.246896187133457,2.246896187133457
20191005,cctv_분께,1,6,3,-3.633190548253348,-4.326337728813293,-1.791759469228055,-1.0986122886681098,2.534578259585238,2.534578259585238
20191005,cctv_불길,1,6,3,-3.633190548253348,-4.326337728813293,-1.791759469228055,-1.0986122886681098,2.534578259585238,2.534578259585238
20191005,cctv_살인방조,2,6,3,-3.633190548253348,-4.326337728813293,-1.0986122886681096,-0.4054651081081645,3.2277254401451834,6.455450880290367
20191005,cctv_수차례,1,6,10,-3.633190548253348,-3.122364924487357,-1.791759469228055,-2.302585092994046,1.330605455259302,1.330605455259302
20191005,cctv_신청,1,6,3,-3.633190548253348,-4.326337728813293,-1.791759469228055,-1.0986122886681098,2.534578259585238,2.534578259585238
20191005,cctv_아동복지법,3,6,4,-3.633190548253348,-4.038655656361512,-0.6931471805599452,-0.2876820724517808,3.3455084758015667,10.036525427404701
20191005,cctv_영상,1,6,3,-3.633190548253348,-4.326337728813293,-1.791759469228055,-1.0986122886681098,2.534578259585238,2.534578259585238
20191005,cctv_온몸,1,6,3,-3.633190548253348,-4.326337728813293,-1.791759469228055,-1.0986122886681098,2.534578259585238,2.534578259585238
20191005,cctv_응급실,1,6,3,-3.633190548253348,-4.326337728813293,-1.791759469228055,-1.0986122886681098,2.534578259585238,2.534578259585238
20191005,cctv_의붓아들,1,6,3,-3.633190548253348,-4.326337728813293,-1.791759469228055,-1.0986122886681098,2.534578259585238,2.534578259585238
20191005,cctv_인천시,1,6,5,-3.633190548253348,-3.8155121050473024,-1.791759469228055,-1.6094379124341003,2.0237526358192475,2.0237526358192475
20191005,cctv_인천지검,2,6,3,-3.633190548253348,-4.326337728813293,-1.0986122886681096,-0.4054651081081645,3.2277254401451834,6.455450880290367
20191005,cctv_인천지방경찰청,1,6,4,-3.633190548253348,-4.038655656361512,-1.791759469228055,-1.3862943611198906,2.246896187133457,2.246896187133457
20191005,cctv_임시보호시설,1,6,4,-3.633190548253348,-4.038655656361512,-1.791759469228055,-1.3862943611198906,2.246896187133457,2.246896187133457
20191005,cctv_조사,1,6,11,-3.633190548253348,-3.0270547446830323,-1.791759469228055,-2.3978952727983707,1.2352952754549773,1.2352952754549773
20191005,cctv_찰과상,1,6,3,-3.633190548253348,-4.326337728813293,-1.791759469228055,-1.0986122886681098,2.534578259585238,2.534578259585238
20191005,cctv_필요성,3,6,6,-3.633190548253348,-3.633190548253348,-0.6931471805599452,-0.6931471805599452,2.940043367693403,8.82013010308021
20191005,cctv_현주,1,6,3,-3.633190548253348,-4.326337728813293,-1.791759469228055,-1.0986122886681098,2.534578259585238,2.534578259585238
20191005,cctv_혐의,1,6,8,-3.633190548253348,-3.345508475801567,-1.791759469228055,-2.0794415416798357,1.5537490065735122,1.5537490065735122
20191005,c군_cctv,2,4,6,-4.038655656361512,-3.633190548253348,-0.6931471805599453,-1.0986122886681096,2.9400433676934026,5.880086735386805
20191005,c군_거짓말,1,4,4,-4.038655656361512,-4.038655656361512,-1.3862943611198906,-1.3862943611198906,2.6523612952416213,2.6523612952416213
20191005,c군_고의성,1,4,4,-4.038655656361512,-4.038655656361512,-1.3862943611198906,-1.3862943611198906,2.6523612952416213,2.6523612952416213
20191005,c군_긴급체포,2,4,7,-4.038655656361512,-3.4790398684260895,-0.6931471805599453,-1.252762968495368,2.785892687866144,5.571785375732288
20191005,c군_목검,2,4,3,-4.038655656361512,-4.326337728813293,-0.6931471805599453,-0.4054651081081645,3.6331905482533475,7.266381096506695
20191005,c군_미추홀구,2,4,5,-4.038655656361512,-3.8155121050473024,-0.6931471805599453,-0.916290731874155,3.122364924487357,6.244729848974714
20191005,c군_사실상,1,4,3,-4.038655656361512,-4.326337728813293,-1.3862943611198906,-1.0986122886681098,2.940043367693402,2.940043367693402
20191005,c군_살인방조,2,4,3,-4.038655656361512,-4.326337728813293,-0.6931471805599453,-0.4054651081081645,3.6331905482533475,7.266381096506695
20191005,c군_신청,1,4,3,-4.038655656361512,-4.326337728813293,-1.3862943611198906,-1.0986122886681098,2.940043367693402,2.940043367693402
