,Value
a씨,0.24141348658162112
경찰,0.23819130697273977
혐의,0.2075899059509014
서울,0.19601448891926296
조사,0.18785296211076263
서울중앙지검,0.17152144198039768
관계자,0.15965904836076864
경위,0.12843816082095946
검찰,0.122795165906284
확인,0.11826892034494287
수사,0.116090785688499
정확,0.10881765594001014
법무부,0.10493445539431284
인근,0.09734021733902043
현장,0.09531527163496575
위반,0.09217534540659006
구속영장,0.09198843109832998
인천,0.08879344494713025
수사관,0.08855656669137885
경기도,0.08665693911404382
동승자,0.08607018408331986
음주운전,0.08462293722777384
혈중알코올농도,0.0830073833808155
도로교통법,0.0830073833808155
취소,0.08249714149185078
강서구,0.08206183665667381
추격전,0.08206183665667381
면허,0.08107774379540177
도로,0.08096224738125471
피의자,0.08086405177208479
교통,0.0803483288475987
입건,0.07955471522039835
수치,0.07864865302899171
피해자,0.07857541214833673
시간date,0.07807185275886137
신호,0.07507401901223937
피고인,0.07455605731022952
단속,0.07366457064387771
결과,0.07328605277943473
인천시,0.07309565280445005
집행유예,0.07254782321297427
강서경찰서,0.07241521361992578
용의자,0.07068519977153108
파악,0.06959570008160684
b군,0.06900535621793129
검찰개혁,0.06811030636743742
사고,0.06755174284752934
검찰청,0.06708453112435338
여성,0.06644229698278399
운전자,0.06572008071913521
병원,0.06554841402830397
b씨,0.06526426274662893
신생아,0.06461642206249091
신고,0.0635357130810332
음주,0.06243792475068456
재판부,0.06226067222180002
변호인,0.06067933310955528
화장실,0.06036327172073623
주변,0.06023782866156529
휴대전화,0.05962740589425987
관계인,0.059136329158719095
구속,0.058568016308189474
만취,0.05773960227914246
사건,0.056403596642132084
계양경찰서,0.05629389072768937
발견,0.055855593866559125
인천지법,0.05540662871349273
경찰관,0.05450297989450947
이날,0.05385569688708506
tv,0.053671430739119175
저체온증,0.053665956308139064
cctv,0.05297325757419396
계양구,0.052908691211965654
고양시,0.052342950890535894
범행,0.05180406343792199
가량,0.05127131054321946
가족,0.05125210794793468
마을버스,0.05089901786453819
정경심,0.05072999055516589
부장판사,0.050729869491186214
성폭행,0.049793176830304854
임학동,0.04974104355701551
대로,0.04934845729641452
위원회,0.04924160286876213
국립과학수사연구원,0.048504266351648014
형사,0.048379467382789615
문재인,0.048160673311347546
운전,0.04801086024175632
출동,0.047917762761992146
폭행,0.047893171491993416
비공개,0.047667659044782054
여부,0.0475411249214557
국민,0.0472739051199838
특수부,0.04721196046681051
유기,0.047061297079194056
청와대,0.047041626035959364
연구원,0.0470078789015676
선고,0.0469877203673538
코레일,0.046783649303377264
열차,0.04675451677382083
승객들,0.04675451677382083
백마역,0.046754516773820816
판사,0.04672409877322881
아들,0.04663175773406514
차단기,0.04635612407799066
cc,0.04619459883565184
dna,0.046055787457553836
비닐봉지,0.046055787457553836
버스,0.04589227882605947
경상,0.04587006466037939
징역,0.04549151945785877
철길,0.045231313093014376
집안사람들,0.044895114408163905
윤석열,0.04476879000156029
시흥시,0.04452523965416161
건물,0.0443530925083452
검사,0.04410901270412516
시흥경찰서,0.04348327727232008
시흥서,0.04348327727232008
폭언,0.043429664272705
전화,0.043429664272705
극단,0.04328495129320288
빌라,0.043138770854490895
경제적,0.04271058578050472
개혁,0.042655785209193095
일가족,0.04264775376839183
자유한국당,0.04246891383362137
정왕동,0.04238744042242871
집안사람,0.04228911943958161
가능성,0.04215694984254434
경의선,0.04213663121171326
출산,0.04198781570441488
이서윤,0.04194462859342147
남성,0.04176065105644146
조씨,0.04175328228387859
운전사,0.041738238515883104
부족,0.041214880770821014
대피,0.04107727278283801
사인,0.041000318679857754
극단적,0.04090116653860928
판단력,0.04080457098588612
유서,0.04076527905932606
화성,0.0407410113204341
감식,0.040377630211124484
단독,0.04028525525815467
연수구,0.040223685425613644
아내,0.04017364279148456
중단,0.03970634309842436
재개,0.03956638823715138
관악구,0.03938052157606399
모자,0.03938052157606399
자녀,0.03916013731131149
광화문,0.03915501598473774
만큼,0.03866595057754874
조국,0.038627834451541374
상태,0.03846440507890604
국정감사,0.03781757109949171
검찰총장,0.03779960877375069
친부,0.03778722827804752
건강,0.03778722827804752
능력,0.03775634177028244
선로,0.03758625472748467
대검찰청,0.03740061430413397
관악경찰서,0.03711553826151959
독서실,0.03704842176071497
대형사고,0.03670180261404324
의견,0.03641187194143209
일산동구,0.03598064920173972
집단,0.035834894004016106
동양대,0.03521995036325781
신원,0.03510959364692822
추돌,0.03507696315125146
버닝썬,0.03497597534394086
진입,0.03496384509933893
남학생,0.03491575860667766
개혁위,0.03476031990988035
연락,0.03468563951412948
이춘재,0.034099232759646686
집단폭행,0.033941859253862366
다세대,0.03393342954149774
母子,0.03393342954149774
출근길,0.033885250227423565
이씨,0.033627365147898436
법조계,0.033508907232365125
선택,0.033437699555591525
장관,0.03302054622155444
가족관계,0.032998036138267996
검거,0.032492957055996474
메시지,0.032148621013865064
민갑룡,0.03181830259509451
소재,0.03145476326842874
청사진,0.03142288572665835
그동안,0.03139971639497325
발생,0.03102023804028486
더불어민주당,0.03083930922288557
허위신고,0.030455016614914038
위원장,0.030449583143827612
윤씨,0.030323191596341465
알선수재,0.030233822801995408
대통령,0.02988334539434632
서부경찰서,0.029843177094400392
피해자들,0.029693446637989503
공개소환,0.02950340393723017
승객,0.02927036979791482
추석,0.028916177068331696
제주동부경찰서,0.028905441042966957
성적,0.02869898240338373
한편,0.028440660206300514
연휴,0.028241095928637862
영장실질심사,0.028141269256748255
행위,0.028105478525281974
정보,0.0274625394451304
통신,0.02714683792772595
자신,0.027062352957029644
피조사자,0.026922564029006762
건널목,0.0268890294884023
포렌식,0.026674473585604652
웅동학원,0.026663051391568576
제대로,0.026476255594609085
충분히,0.026333521248766124
경찰총장,0.026311084258245312
증거인멸,0.026009165446190304
의붓아들,0.025833565686023265
서울행정법원,0.025654315393923002
진술,0.025569320059894745
무혐의,0.025567630182012743
징역형,0.025549027153893462
검찰개혁위원회,0.025370422955992067
예정,0.025331407496591084
심야조사,0.02531718706645567
개혁안,0.025308148390650407
현관,0.025285278837550457
기소,0.025195530463731908
민주주의,0.025172077562468427
경기,0.02512430528932192
폐쇄회로,0.025113782369333638
아동학대,0.024977074672427352
수사기관,0.02486207590150248
집행,0.024780209927786095
민주당,0.02469762431343121
상습특수상해,0.02468493885131933
국회,0.02456529965909692
체포,0.02450433622067915
촛불집회,0.024303866304536858
소방당국,0.02423639478698053
남동생,0.024122436173873833
권고안,0.024097978430253138
서울고검,0.024077741058065056
가석방,0.023734193728943625
상해,0.02369591942971513
불구속,0.023668665736862864
보육원,0.023618779559837887
강지환,0.023610763844190343
사생활,0.023430173579067317
