,Value
법무부,0.18963581137338295
경북,0.17264707046692512
검찰개혁,0.16271128334858825
청와대,0.15561620930633097
서울중앙지검,0.14984797947442144
정씨,0.14871224249368944
촛불집회,0.13552629463435445
참가자들,0.12541247668939914
문재인,0.12071772006857448
참가자,0.1204004445561412
압수수색,0.11911100555669947
대법원,0.11560067984325248
미탁,0.11178111401348395
광화문,0.11058748056534017
변호사,0.1076918690461581
태풍,0.10724522898527043
부산,0.10091221803281811
정경심,0.09776030767463596
구속영장,0.09685806980988566
뉴시스,0.09659122098645291
포항,0.09646128942387307
현화영,0.09389884256622505
자유한국당,0.09090089779105348
승용차,0.09052880522411016
대한민국,0.08762197007058113
조국,0.08688966991739273
저수지,0.0859348599145017
유계,0.0859348599145017
강원,0.08555941475017335
지역,0.08550143415282352
시민들,0.08459470092307124
불구속,0.08381276635845053
소방당국,0.08366800502744735
페이스북,0.08304937764807453
청하면,0.08278344248990964
광화문광장,0.08200430649021173
포항시,0.08078022063555802
신고,0.08059363395840738
재판부,0.08011609871051437
기상청,0.07962544180053727
서울중앙지법,0.07951748706615482
전북,0.07915427682747024
대검찰청,0.07905818236495585
반포대로,0.07872979603814884
집회,0.07856527286089622
발견,0.07829734629314358
더불어민주당,0.07661453009481836
시간date,0.07628260897884574
울진군,0.07593817767136635
혐의,0.07540431720644734
인근,0.0752384634444135
유계저수지,0.07479872433725293
공무집행방해,0.07474972383624078
우리나라,0.07473929590797197
경남,0.07383252626044849
사모펀드,0.07340328770972829
울진,0.0727876123521391
동양대,0.07262540518091797
비공개,0.0722496784766557
제주,0.07188228735754189
대규모,0.07161065880822885
대구,0.07156074028295101
검찰청사,0.0714846981699152
사거리,0.0711371392933647
손팻말,0.07067050325906914
실종자,0.07059569540544665
특별교부세,0.0704230086091242
운전자,0.07026058752754752
유계리,0.06892725142543712
진영,0.06874260504542835
출동,0.06851381136500356
조씨,0.06784791071007945
위원장,0.06745327873141914
만큼,0.06652846608804065
집중호우,0.06634350175870231
인천,0.06551896340278389
실종,0.06525566191352926
상류,0.06525566191352926
북구,0.06525566191352926
수색,0.06525566191352926
검찰청,0.06502991850231495
매화면,0.06424406477854792
전광훈,0.06424181110585764
광주,0.06402683918337444
사람들,0.06397756331541878
그동안,0.062002133450801515
법조계,0.06131061577202035
이재민,0.06123599711098926
변호인,0.06117543289437372
일본,0.06084323609826538
가족들,0.0604546877685576
마리,0.05998710598041973
태극기,0.059881278443659695
표창장,0.05963381884103436
김용찬,0.05958006103980233
조사,0.05928774863161476
정치검찰,0.059176950164376456
부장판사,0.05910682921733281
농경지,0.05839218333432972
미국,0.05805672439240867
강릉,0.057744335950433386
결과,0.057549319524903185
집행유예,0.05741209663419496
시민연대,0.05721292701052145
범국민,0.05721292701052145
사업비,0.05717036119116887
경찰청,0.0562530099443939
서울대,0.056002422667938805
무분별,0.05599900956611248
발생,0.05544036179644104
문화제,0.05467627012364022
하기비스,0.0539363231135587
수사기관,0.053536508606829056
충남,0.05335273103573394
세월호,0.05325949526276732
북서쪽,0.053225350544253536
부장검사,0.053200669798832784
최씨,0.05313117679061604
허씨,0.05313117679061604
대법원장,0.05282312282004064
친인척,0.05207551696707623
강원도,0.051918363120583844
사실상,0.05120287295783952
아이들,0.05106915837466073
공직선거법,0.05106283582042908
정치자금법,0.05106283582042908
장성민,0.05106283582042908
특수부,0.050791086634671655
전씨,0.05001468398325741
한국당,0.04968345581891843
오키나와,0.049130599665557814
제주도,0.049023024414858514
재소환,0.04895223603689835
규슈,0.04841952104233928
경찰관,0.047316782334439506
소속,0.04662709627476515
민주당,0.04660400960475873
한국,0.046089061852754756
석열,0.04599948350918835
회삿돈,0.04587436161457374
신상정보,0.04582056561364611
경기,0.04525922764829845
위원회,0.04471012513175274
버닝썬,0.044664359955404284
구속기소,0.04370282468266722
무차별,0.04363492858521291
고기압,0.04354105261266243
포천시,0.04344204852245927
아프리카돼지열병,0.04344204852245927
아프리카,0.04344204852245927
신고가,0.04344204852245927
asf,0.04344204852245927
온라인,0.04229077471175833
청주,0.042274033983794077
부부장,0.041522287715425155
정밀검사,0.04136339508860761
보령,0.041200568899635324
열병,0.0405755327999721
농림축산식품부,0.0405755327999721
문자메시지,0.040023044512748365
달여,0.03933200104581721
외사부,0.03830771411050736
판시,0.03768836456317925
한국기독교총연합회,0.03739131054058942
울산,0.03726502790348679
하드디스크,0.0370402334165481
돼지열병,0.03688554593826919
김천,0.03673696211163449
정확,0.03599233466738495
춘천,0.03548237942219839
제조업체,0.03538819752862929
포천,0.03510437685409987
경기도,0.03510437685409987
자한당,0.03466225231243525
이씨,0.03462491885748083
가족,0.034177779345170196
살처분,0.033970310148888114
조민,0.0337877903805847
학술대회,0.0337877903805847
공무원,0.03332447734544877
의심신고,0.03329854464077882
서비스,0.03314228849569
중형급,0.03302951630900528
시설물,0.032492816234781355
병원,0.03228181526100797
징역형,0.032103234201561234
장애인,0.03207295634636569
수원,0.03205561212658692
보령시,0.03202169246502756
천북면,0.03202169246502756
용의자,0.031813786966569065
헥토파스칼,0.03174771290679326
피고인,0.03172245880654181
개인정보,0.031445744767658025
선거운동,0.031134909972544946
대통령선거,0.031134909972544946
후보자,0.03113490997254494
c씨,0.030843257084883443
전주,0.030763039474894217
진술조서,0.030523404726690816
고속도로,0.03048671109515997
필리핀,0.03025349511501575
윤석열,0.029412803165778427
영국,0.02878340528156982
중심기압,0.028638835712484666
저압부,0.028638835712484666
열대저압부,0.028638835712484666
변호인단,0.028361792586408145
파주시,0.028328060755085004
유튜브,0.028221187417079206
발병,0.0279670244961746
충북,0.027800588360603836
불확실성,0.027772825256428955
동쪽,0.027275403612191846
경찰서,0.026494593407239288
목격자,0.026181053969920282
탈북민,0.025843727878079953
방역당국,0.02514149972736279
성폭행,0.025132758206087978
신빙성,0.025072112443335515
북태평양,0.024663948062120362
제대로,0.02457747942754331
농장주,0.024353637438727278
미국인,0.02420842312778955
보안관,0.02420842312778955
깃발,0.024076522279375154
지역별,0.024052899074037768
치료,0.023976988562532327
방아쇠,0.023962099067542795
화성,0.023396174871597265
교육부,0.02323650438827871
장기간,0.02263743067434494
wp,0.022355768779987958
이춘재,0.02230231376909931
수차례,0.02205670129894909
대상자,0.021506324638017823
전문가,0.020553141495406956
장인,0.020505554737663807
생일,0.020505554737663807
사위,0.020505554737663807
서프라이즈,0.020505554737663804
워싱턴포스트,0.020505554737663804
걸프,0.020505554737663804
크리스토퍼,0.020505554737663804
플로리다주,0.020505554737663804
형사입건,0.020505554737663804
뒷문,0.020505554737663804
노르웨이,0.020505554737663804
산타로사,0.020505554737663804
존슨,0.020505554737663804
데니스,0.020505554737663804
베르겐,0.020505554737663804
앞문,0.020505554737663804
화성사건,0.019933861340202187
생명,0.0198209861199621
연평균,0.01915944674985717
홈페이지,0.019047403677836236
의원,0.017141771688129973
화성연쇄살인사건,0.01641293940717642
윤씨,0.01594235092624691
자사고,0.015936072566007112
기도,0.015903987062825573
가중처벌,0.015903987062825573
무속인,0.015903987062825573
남편,0.015903987062825573
수원지법,0.015903987062825573
이해관계,0.015903987062825573
송승용,0.015903987062825573
자금관리,0.015903987062825573
선고,0.015903987062825573
노동자,0.015404727071532566
보건복지부,0.01497753438596242
복지부,0.014700723872207888
보고서,0.014680995741705108
손해액,0.013806913075731847
복대동,0.012859889098302348
살인사건,0.012859889098302348
태국,0.012454420867632154
방콕포스트,0.010987502269879167
보건복지위원회,0.010827861234554058
가경동,0.010611254177516334
독거노인,0.010277846402474903
금융위원회,0.010277846402474903
금융권,0.010277846402474903
생활관리사,0.010277846402474903
비대면,0.010277846402474903
금융위,0.010277846402474903
고령층,0.010277846402474903
기본서비스,0.010277846402474903
서울시,0.00980735275433957
보험금,0.009648280153186369
신청서,0.00935609281747808
금융회사,0.00935609281747808
서민금융진흥원,0.00935609281747808
관리사,0.00916477276483051
휴면재산,0.00916477276483051
민주노총,0.00797452097313631
tv,0.006680847323762862
수업료,0.006059619596518435
국방부,0.005923450368712001
부동산,0.00572116251195785
kbs,0.005652440414705894
근로자,0.005163808957120208
월평균,0.004678339922838428
근로소득,0.004354490622120456
