,Value
서울,0.19583535446285566
구속영장,0.19498965206678065
자유한국당,0.17850005668665575
피의자,0.15786543591511884
한국당,0.15370621585681493
혐의,0.14983122097373908
관계자,0.13823173193001909
의원,0.13425544755120422
홍정욱,0.13079733802204932
부장판사,0.12995394562511464
밀반입,0.12789085239263023
인천지법,0.12313642586603168
법무부,0.12227552153839896
국회의원,0.11943526991679963
한나라당,0.119133461484735
a씨,0.11742744177080336
마약류,0.11411263269698661
미국,0.11382615064205778
영장실질심사,0.11348105646419686
경찰,0.11311387535564074
페이스북,0.11270914151412953
이진석,0.11246738695206657
조사,0.10973007174146203
의약품,0.10524981467539686
하와이,0.10510835114813116
향정신성,0.09868880718811267
홍양,0.09667897748707745
인천공항,0.09604418809644256
향정신성의약품,0.09407402984819416
인천국제공항,0.09180251578698434
마약,0.091590134963954
lsd,0.09016036631725925
제대로,0.08963668544616997
자신,0.08826537846653544
호놀룰루,0.08719223447531235
대마,0.08663290844710293
증거인멸,0.08553830159248245
정확,0.08541776350930029
검찰,0.08402658590087364
적발,0.08254452263274524
홍씨,0.08175566407028959
상태,0.08067080620151945
문재인,0.08066194170193094
검찰개혁,0.07898245465651409
강력부,0.07813465544260428
구속,0.07770409034034566
인천지검,0.0775418267949492
미국발,0.07702720059353577
영장,0.07620751408793752
병원,0.07483761161630388
신고,0.07342485750251057
피해자들,0.07311639025162948
서울중앙지검,0.0727076028919432
여객기,0.06759646753244755
재판부,0.06684452568333141
애더럴,0.06650919970831154
헤럴드미디어,0.06626326296153873
남성,0.0661691063092445
여성,0.06512316014366164
불출마,0.06398488671202708
범행,0.06319746560838269
살해,0.06264997094222582
김호삼,0.06155139054425243
가방,0.060773527388254284
출동,0.05981597472739319
레이,0.058427101310445574
서울대,0.05804443302364604
윤석열,0.0576705400979881
헤럴드,0.0574156294332016
촛불집회,0.05718762030274549
각성제,0.056731817994892034
회장직,0.05640628951076912
원내대표,0.05626291855715069
시인,0.055762823983203286
전화,0.055762823983203286
동기,0.055762823983203286
노원병,0.05571194110252353
남궁원,0.05564734194729474
a군,0.055009497558733966
노모,0.05459995547472776
살인,0.05458864492166958
존속살해,0.05458290131184679
동거인,0.05458290131184678
신청,0.054556804964910756
어머니,0.054556804964910756
관악구,0.054556804964910756
관악경찰서,0.054556804964910756
체포,0.054300099346182344
기각,0.05425746142822438
정경심,0.05374596025008528
위반,0.05348000374838248
동거녀,0.05337630538834063
현행범,0.05337630538834062
봉천동,0.053167011719907585
존속,0.05311649691155147
아들,0.052604751497628256
영화배우,0.05251380581365781
이날,0.05147988958656743
건물,0.051245826287529044
나경원,0.050843033212174274
만큼,0.05069966885681121
국민들,0.0506429884876241
의붓아들,0.05039914260114219
사과,0.049800305104113686
동양대,0.04932070061893591
기업인,0.04871320961128906
사건,0.04865774112235903
피해자,0.04856088873178006
올가니카,0.04819130347834504
아이들,0.04790438231678122
법률,0.04742157014309432
청와대,0.046781528312469164
사고,0.046572252898621595
조국,0.046483798475131864
아이,0.04636939823489184
홍경일,0.046317525264110905
경남,0.04512244887047149
변호사,0.044766900629381316
상해,0.04405831769740657
더불어민주당,0.04326446728440301
의식불명,0.042116769757258726
가능성,0.041616189812197175
소환조사,0.04150782303116423
구급차,0.0405543811616914
고유정,0.04013565999302292
입장문,0.04007467180826164
슈퍼맨,0.039480076239989344
황교안,0.03946241253599618
수사,0.03925935319318076
검찰총장,0.03877660962250015
고씨,0.03802940062706755
대한민국,0.03724871764359121
경위,0.036789062778400036
의원들,0.03658369589254166
사모펀드,0.036297477545805
미성년자,0.03627119627578236
사실,0.03565801515402059
대검찰청,0.035402935206296296
인근,0.03500346068494018
학교,0.034889645944671296
위원회,0.03477808489274149
부정확,0.03477465683429347
아버지,0.03455554630878656
발생,0.03445354369607539
인천공항세관,0.03424335355874853
방화셔터,0.03346361394699569
보도,0.033455861148780006
김해시,0.03332238554218293
책임감,0.03318258426394736
주머니,0.033074485148469564
이학재,0.03292558133426502
발견,0.03276182028893118
대규모,0.032646731971200854
언론,0.03260217404052636
인턴,0.032545842138492334
상대,0.03224264896372901
피고인,0.03206303738483398
치료,0.031903772492044354
교수,0.03178184378875841
의원총회,0.03147790758027548
김씨,0.03146936435733709
지도부,0.03105866460516754
조씨,0.030673704189366234
거짓말,0.03029436829724545
압수수색,0.030036257826305444
국회,0.03001964793372403
심폐소생술,0.0297358764752382
계단,0.029389517174820485
명예훼손,0.029135515177169873
여의도,0.02900790149860122
작동,0.028998281174086846
성모병원,0.028879378899695506
교사들,0.028827786195784893
b씨,0.02824628621943401
인권법,0.028203706951682603
국민,0.02797316719756773
폭행,0.02795471118243704
교사,0.027848994034018644
