,community
asf,0
파평면,0
파주시,0
파주,0
최소화,0
정밀검사,0
적성면,0
인천,0
열병,0
아프리카돼지열병,0
아프리카,0
신고가,0
살처분,0
발생,0
이낙연,0
경기도,0
발병,0
농림축산식품부,0
돼지열병,0
농식품부,0
문산읍,0
마리,0
제주,1
전남,1
대구,1
시간당,1
태풍,1
중국,1
제주도,1
운전자,1
영동,1
제주시,1
서귀포,1
남부지방,1
서귀포시,1
강수량,1
비바람,1
경북,1
기상청,1
북동진,1
지리산,1
목포,1
남동쪽,1
동해안,1
상하이,1
일본,1
유치원,1
강원,1
광주,1
학생들,1
충남,1
미탁,1
고등학교,1
우리나라,1
부산,1
교육부,2
공공기관,2
비정규직,2
직원들,2
조합원,2
친인척,2
센터장,2
중구,2
서울시,2
중앙대,2
일자리,2
학년도,2
연구소,2
장애인,2
한국,2
사회의,2
사람들,2
분들,2
대학생,2
서울대,2
연세대,2
고려대,2
상반기,2
인권법,2
민주노총,2
제대로,2
보건복지부,2
증명서,2
지자체,2
노동자,2
부동산,2
공무원,2
의원실,2
환경부,2
조국,3
박근혜,3
국정감사,3
공무상,3
광화문,3
나경원,3
대표가,3
수사팀,3
시간date,3
시민단체,3
시민들,3
원내대표,3
사문서,3
장관,3
한국당,3
촛불집회,3
민정수석,3
박지원,3
법무장관,3
변호사,3
비공개,3
사실관계,3
유튜브,3
사실상,3
수사권,3
압수수색,3
위원장,3
유시민,3
정경심,3
진영,3
서울중앙지검,3
의원들,3
참여연대,3
문재인,3
그동안,3
증거인멸,3
조씨,3
웅동학원,3
취재진,3
성매매,3
피고인,3
최교일,3
청문회,3
대법원장,3
사모펀드,3
불구속,3
보고서,3
민정수석실,3
대법원,3
지능범죄수사대,3
유은혜,3
패스트트랙,3
황교안,3
정작,3
표창장,3
사문서위조,3
인사들,3
전수조사,3
이사장,3
변호인,3
부장검사,3
미국,3
고발장,3
최성해,3
지원자,3
불가능,3
동양대,3
형사부,3
구속영장,3
더불어민주당,3
국민들,3
공직자,3
jtbc,3
검사들,3
검찰,3
바른미래당,3
대검찰청,3
노무현재단,3
위원회,3
민주당,3
윤석열,3
특수부,3
청와대,3
검찰총장,3
법무부,3
개정안,3
의원,3
공판부,3
자유한국당,3
개혁안,3
검찰권,3
검사장,3
검찰개혁,3
검찰청,3
화성,4
강간미수,4
살인사건,4
화성사건,4
화성연쇄살인사건,4
수원,4
부산교도소,4
반기수,4
행정처분,4
무기수,4
성폭력,4
목격자,4
라포르,4
대면조사,4
공소시효,4
dna,4
연구원,4
프로파일러,4
경찰청,4
청주시,4
수사본부,4
만큼,4
여성들,4
대상자,4
연쇄살인,4
용의자,4
충북,4
이춘재,4
수사기록,4
성폭행,4
이씨,4
증거물,4
청주,4
신빙성,4
성범죄,4
조사,5
ㄱ씨,5
가족,5
특례법,5
자녀,5
의붓아들,5
발견,5
경남,5
목숨,5
신고,5
아들,5
아동학대,5
아내,5
병원,5
인천시,5
생활고,5
여성,5
위반,5
인근,5
살인,5
모습,5
교수,5
살해,5
범행,5
다음날,5
김해중부경찰서,5
확인,5
학교,5
자신,5
혐의,5
돈봉투,6
안태근,6
박주민,6
서울고법,6
온라인,6
최순실,6
국회의원,6
거짓말,6
서울중앙지법,6
이영렬,6
정씨,6
항소심,6
재판부,6
집행유예,6
명예훼손,6
법조계,6
징역형,6
페이스북,6
은평구,6
아이들,6
부장판사,6
전문가,6
