,Value
화성,0.16877413412923878
법무부,0.16629133376885052
용의자,0.16526392921285427
이씨,0.14633538525462855
dna,0.14199910640488084
공소시효,0.13009420178739659
화성연쇄살인사건,0.12636202070562855
충북,0.12536498193795848
미국,0.12255478065379175
이춘재,0.12211519402466144
연쇄살인,0.121735437760044
변호사,0.11900051308313885
경찰청,0.1174439651319796
청주,0.11568945827428077
교도소,0.11525644443970362
증거물,0.11393170691744392
부산교도소,0.11299576419381496
성폭행,0.11228591165632186
경기도,0.1109678476409601
살인사건,0.10847086810911329
부산,0.10473295508885634
압수수색,0.1045248011933411
수사팀,0.1027947095957236
연쇄살인사건,0.1008824657224219
경기남,0.10064970350127034
시간date,0.10050540581139232
무기징역,0.09716020855750371
국과수,0.09689983398541278
혈액형,0.09454624353996997
사람들,0.09452491264613797
사실상,0.09399518159605036
유류품,0.09380423101901622
온라인,0.09373041843656191
우리나라,0.09340114134325188
유전자,0.09249760414983689
만큼,0.0923942816237908
직원들,0.09195475820987983
대법원,0.08761990726450933
대구,0.08724873005329287
혐의,0.08692171638543283
연구원,0.0862474692579806
조사,0.08622107472325435
청와대,0.08610752340750218
여성들,0.08532052160382851
수차례,0.07944293881719952
경기남부경찰청,0.07933379454923077
피해자들,0.07891308663688375
경기남부지방경찰청,0.07790772796419927
위원회,0.07755085861345941
검사들,0.0773395986621679
검찰청,0.0756201558076802
연쇄살인범,0.07483011438607949
무기수,0.07444716170034787
전문가,0.07413963959134505
화성시,0.07399531151815862
뉴시스,0.07392329815092766
수사본부,0.07379599102454178
의정부지검,0.07336090212784166
모방범죄,0.0733407142082059
청주로,0.07274784084327299
재판부,0.07230049058173418
프로파일러,0.0720311463645131
대상자,0.07142307317478964
문재인,0.07103162993333818
모범수,0.0703883536751721
부장검사,0.07025819854920556
일본,0.07007378178596495
검찰개혁,0.06963763606787085
반기수,0.06881436754323617
서울중앙지검,0.06872104603795598
더불어민주당,0.06842681149997719
장관,0.06807365646067949
조국,0.06802723870086369
서울대,0.06738491007645557
국립과학수사연구원,0.0668953444947185
화성군,0.06682321257333396
한국,0.0667142759579437
법조계,0.06478182400277287
발언,0.06476167251026625
연관성,0.0645877940377902
비공개,0.06452846200604657
개구리소년,0.06389758671704837
가족들,0.06353945412949505
그동안,0.06300853779344072
의정부,0.06239007469941526
화성사건,0.06226368318698087
정경심,0.06204851503712853
수사관,0.06153020690652481
재수사,0.060874850412150655
진안리,0.06083875751605956
사모펀드,0.06074843426408771
태안읍,0.06049710162941832
자유한국당,0.05954516941194153
의혹,0.059455313808518984
국민일보,0.05930531038818901
미제사건,0.05917948023191996
불가능,0.05915128109781069
서울지방경찰청,0.05830272689873596
경찰청장,0.05797333283201895
청주지검,0.05731418312824574
사법연수원,0.057186533644883034
그간,0.056049512661548444
검경,0.0558398163037217
강원,0.0553100725527722
판결문,0.054925141876789485
sns,0.054235567129415165
검찰,0.05378019412129223
노무현,0.05367831312434772
분들,0.052994819027281405
충분히,0.0528183772907651
무혐의,0.05182501916642094
살인죄,0.05180828739598304
와룡산,0.05142675434715633
법무장관,0.05138252777284087
대변인,0.05108607729210786
페이스북,0.05019263165348443
재검토,0.04957326063668138
이프로스,0.04954600872538675
피고인,0.049333286139294795
항소심,0.04909107146932091
경찰관,0.04782682797053108
위원장,0.0477906856728545
유승준,0.047747872389469516
주민들,0.04772385140110346
노동자,0.04738177414866648
학생들,0.046991922249419116
박씨,0.04673516202836495
수사권,0.046426417851370014
채용비리,0.04595081529050576
평검사,0.04532431453404199
동양대,0.04531625957076312
한국당,0.04515832932519466
광주,0.04431964360929632
학교,0.04409042121168973
전남,0.04328484610908976
형사부,0.04314015553653479
코링크,0.042802955201324586
중국,0.04274887945919526
연구소,0.04262219326372572
성폭력,0.04210107905906251
대표가,0.04194018642771228
조씨,0.04192043226385952
강원랜드,0.04187881361830354
보고서,0.04161870447605242
운용사,0.04143037551531781
나경원,0.04129257596242817
유튜브,0.04109336009802591
부장판사,0.040636943053092865
외국인,0.04014031642742946
강서구,0.03974844615502935
익성,0.03875954213656143
생방송,0.03760296053601656
참석자,0.03758547405641155
원내대표,0.03752463187380787
아이들,0.037495068697455405
기상청,0.037398157319809465
제주도,0.0371805605051979
사무실,0.03703623030808762
제주,0.0367461460349052
진행,0.03641055398364511
고형곤,0.036398096445478284
변호인,0.03637414917513866
바른미래당,0.036362782839978014
민정수석,0.03609440206127317
전문가들,0.03538345697017436
wfm,0.03496183288339932
여성,0.0341938083214278
코링크pe,0.034181425686815134
서울중앙지법,0.03416963693332244
공무원,0.03411114728407833
지능범죄수사대,0.03393531810248898
자동차,0.0339179951318513
경남,0.03322784203725822
성관계,0.03299639195436453
임무영,0.032485680299891094
양현석,0.03210289267280216
서울고법,0.03176893744415448
자회사,0.03168799702913761
의전원,0.03168399255183179
사진,0.03163218794902215
불기소,0.03152395240993079
부사장,0.03119185113312198
성매매,0.03115712798439427
시설물,0.030713056784622272
재력가,0.03068508399276761
서울시,0.03058862676660596
윤석열,0.03055680188505511
인천,0.030221341927894645
다음달,0.03021621834612589
학생,0.030101084737872694
집행유예,0.029761850089882472
교수,0.029107776458630236
관련자,0.029094846544536982
대한민국,0.028491624280015625
총학생회,0.028432448916529532
박근혜,0.02809524761250633
사망자,0.027993079939618273
장학금,0.027910771809312455
여자들,0.027155765231545486
손해배상,0.026606642422144767
충남,0.025710409434303312
앞바다,0.025522287856027677
오키나와,0.024785988618174753
마리,0.024502825024363517
남해안,0.024385464193482656
장애인,0.024137674471503275
yg,0.023771590319505348
동해안,0.023667238818321907
경북,0.02360877920029594
여학생,0.023504388175501947
총알받이,0.022835220302561028
동의대,0.022835220302561028
남학생,0.022835220302561028
사직,0.022835220302561028
진상조사위원회,0.022835220302561028
위안부,0.022835220302561028
재판장,0.022600963205768758
독도,0.022159360425284685
인사위원회,0.022101819918586046
태풍,0.021985081136705498
근로자,0.02192721905837342
환치기,0.021710176377498447
성접대,0.021693531019437592
울산,0.021199059449937725
유흥업소,0.020814999146182532
서울고등법원,0.02081377624092545
고소장,0.020417657329204784
병원,0.020343584421894333
구속기소,0.02011010630988522
la,0.02000999522568754
도덕성,0.01978069379847162
일자리,0.01942822330897711
현장,0.019240004450046398
고려대,0.019184846155527378
링링,0.019056253782542183
시간당,0.018473838065122504
총영사관,0.018445030232031187
도로,0.01834973190469046
신고가,0.018230304750162532
해안가,0.018038561661706205
신고,0.017470402057921327
금속노조,0.016949340746756778
종로구,0.016712614595695216
서귀포,0.01648943715888074
남쪽,0.016368601661258395
보건복지부,0.016309572504807017
촛불집회,0.01604847236397716
대한해협,0.015364670354830866
이재현,0.014681492822909332
경위,0.014668596628043526
결과,0.014003612620563394
마약류,0.01299450419636825
업무협약,0.012889084209111116
서울남부지법,0.012614256253218518
사업,0.01258648585156294
발병,0.011240641805528287
돼지열병,0.010987353345649056
인과관계,0.010492350765998266
아프리카,0.010438453752541724
아프리카돼지열병,0.010438453752541724
asf,0.010193351158063068
학부모,0.009537826278310848
고용노동부,0.009422721437474585
호흡기,0.008451292201994285
전자담배,0.008451292201994285
살처분,0.008132664241159365
파주시,0.007893791445363086
파평면,0.007806878488499917
정밀검사,0.007806878488499917
적성면,0.007806878488499917
연천,0.007500546085740048
부동산,0.007487186538694824
의심신고,0.00748152510941744
복지부,0.007330415660354962
파주,0.007256226755379428
농식품부,0.007090488045077984
서소문,0.006958684324530468
자사고,0.004639646326941004
