,community
asf,0
사람,0
여성,0
연구원,0
영상,0
제주,0
주민,0
보일러실,0
치료,0
인명피해,0
김포요양병원,0
화상,0
확인,0
환자들,0
보건복지부,0
화재,0
치료실,0
요양병원,0
김포시,0
환자,0
과태료,0
직원들,0
불가능,0
소방당국,0
제대로,0
사망자,0
사람들,0
전남,0
병원,0
발생,0
주민들,0
국립과학수사연구원,0
발병,0
불은면,0
살처분,0
신고,0
신고가,0
아프리카,0
아프리카돼지열병,0
마리,0
인천시,0
돼지열병,0
정밀검사,0
파주,0
현장,0
인천,0
강화군,0
cctv,0
dna,0
경기,0
김포,0
복지부,0
경기도,0
a군,0
tv,0
사모펀드,1
대학원,1
검찰,1
동양대,1
연세대,1
부산대,1
법무부,1
정씨,1
정경심,1
페이스북,1
서울중앙지검,1
미국,1
장관,1
아이들,1
조사,1
경위,1
아들,1
고려대,1
서울대,1
공익인권법센터,1
인문학,1
쥐새끼,1
눈물,1
출입문,1
피눈물,1
시간date,1
모욕감,1
팀장,1
교수,1
아이,1
자신,1
사진,1
변호인,1
비공개,1
조씨,1
증명서,1
인턴증명서,1
자존감,1
보고서,2
홈페이지,2
졸업생,2
충남,2
중징계,2
외국인,2
서울교대,2
대면식,2
무응답,2
근로자,2
공무원,2
개정안,2
대상자,2
장애인,2
사업장,2
임금체불,2
성희롱,2
장학금,2
표본오차,2
수도권,2
부산,2
대구,2
학교법인,2
서울시,2
리얼미터,2
뉴시스,2
성범죄,2
경남,2
활성화,2
환경부,2
공공기관,2
성폭력,2
경북,2
일자리,2
고용노동부,2
온라인,2
노동자,2
교육부,2
학생들,2
의원실,2
재학생,2
더불어민주당,2
여학생,2
광주,2
중학교,2
전문가,2
sns,2
서울중앙지법,3
서울지방경찰청,3
명예훼손,3
한국,3
자유한국당,3
가해자,3
자살률,3
체포영장,3
휴대전화,3
변호사,3
네트워크,3
장자연,3
통계청,3
청와대,3
손해배상,3
윤씨,3
후원금,3
윤지오,3
충분히,4
민주당,4
바른미래당,4
문재인,4
공판부,4
나경원,4
부산지법,4
구속영장,4
고등학생,4
공정성,4
공소장,4
김태규,4
정신줄,4
증거인멸,4
하태경,4
유튜브,4
방송인,4
방송,4
생방송,4
간담회,4
kbs,4
위원회,4
그동안,4
pc,4
시민들,4
노무현재단,4
알릴레오,4
윤석열,4
중구,4
한동훈,4
검찰개혁,4
검사들,4
검찰총장,4
법조계,4
법무연수원,4
천안지청,4
특수부,4
검사장,4
공문서,4
표창장,4
유시민,4
법무장관,4
이사장,4
의원들,4
대검찰청,4
한국당,4
대한민국,4
압수수색,4
불구속,4
원내대표,4
피해자들,5
화성,5
용의자,5
이씨,5
충북,5
성폭행,5
연쇄살인,5
증거물,5
태안읍,5
혈액형,5
청주,5
이춘재,5
우리나라,5
아주대병원,6
항소심,6
만큼,6
허위사실,6
대법관,6
이재명,6
정치권,6
대법원,6
사실상,6
분들,6
이국종,6
수원,6
탄원서,6
부장판사,7
서울동부지법,7
집행유예,7
상태,7
선고,7
거짓말,7
벌금형,7
광진구,7
재판장,7
장기간,7
인천지법,7
양형,7
연수구,7
교통사고,7
성매매,7
피고인,7
음주운전,7
징역형,7
특례법,7
인근,7
다음달,7
재판부,7
혈중알코올농도,7
혐의,7
상해,7
운전자,7
